Variable Set,Pancreas
LociFraction.AluFraction,0.528
LociFraction.cCREFraction,0.624
LociFraction.LINEsFraction,0.504
LociFraction.CompartmentFraction,0.472
MotifAnalysis.CongruentDimer,0.456
MotifAnalysis.CongruentHexamer,0.488
MotifAnalysis.CongruentTetramer,0.504
MotifAnalysis.DegenerateHexamer,0.376
MotifAnalysis.DegenerateTetramer,0.344
MotifAnalysis.InsideDimer,0.392
MotifAnalysis.InsideHexamer,0.352
MotifAnalysis.InsideMonomer,0.32
MotifAnalysis.InsidePentamer,0.344
MotifAnalysis.InsideTetramer,0.344
MotifAnalysis.InsideTrimer,0.296
MotifAnalysis.InsideTrimer0.01,0.416
MotifAnalysis.InsideTrimer0.05,0.424
MotifAnalysis.OutsideDimer,0.4
MotifAnalysis.OutsideHexamer,0.392
MotifAnalysis.OutsideMonomer,0.392
MotifAnalysis.OutsidePentamer,0.408
MotifAnalysis.OutsideTetramer,0.416
MotifAnalysis.OutsideTrimer,0.472
WiseCondorX.Wise-1,0.624
WiseCondorX.Wise-5,0.488
WiseCondorX.Wise-10,0.464
Delfi.LengthRatio,0.608
DyadAccessibility.AluJ,0.312
DyadAccessibility.AluS,0.304
DyadAccessibility.AluY,0.304
DyadAccessibility.BudhrajaRPR,0.312
DyadAccessibility.cCRE_CTCF,0.392
DyadAccessibility.cCRE_DistalEnhancers,0.328
DyadAccessibility.cCRE_DNaseH3K4me3,0.6
DyadAccessibility.cCRE_Promoters,0.576
DyadAccessibility.cCRE_ProximalEnhancers,0.4
DyadAccessibility.L1,0.36
DyadAccessibility.LINEs,0.416
ichorCNA.ichorCNA,0.368
LengthAnalysis.Length1,0.312
LengthAnalysis.Length5,0.336
LengthAnalysis.Length10,0.368
LengthAnalysis.Length15,0.352
LengthAnalysis.Length20,0.384
