Variable Set,Pancreas,Breast
LociFraction.AluFraction,0.12698412698412698,0.1984126984126984
LociFraction.cCREFraction,0.15873015873015872,0.06349206349206349
LociFraction.LINEsFraction,0.09523809523809523,0.015873015873015872
LociFraction.CompartmentFraction,0.15079365079365079,0.06349206349206349
MotifAnalysis.CongruentDimer,0.4,0.30952380952380953
MotifAnalysis.CongruentHexamer,0.48,0.3333333333333333
MotifAnalysis.CongruentTetramer,0.456,0.31746031746031744
MotifAnalysis.DegenerateHexamer,0.36,0.3253968253968254
MotifAnalysis.DegenerateTetramer,0.36,0.23809523809523808
MotifAnalysis.InsideDimer,0.232,0.30952380952380953
MotifAnalysis.InsideHexamer,0.336,0.29365079365079366
MotifAnalysis.InsideMonomer,0.264,0.2857142857142857
MotifAnalysis.InsidePentamer,0.344,0.3492063492063492
MotifAnalysis.InsideTetramer,0.32,0.36507936507936506
MotifAnalysis.InsideTrimer,0.264,0.3333333333333333
MotifAnalysis.InsideTrimer0.01,0.368,0.19047619047619047
MotifAnalysis.InsideTrimer0.05,0.424,0.2222222222222222
MotifAnalysis.OutsideDimer,0.296,0.30158730158730157
MotifAnalysis.OutsideHexamer,0.368,0.2857142857142857
MotifAnalysis.OutsideMonomer,0.176,0.1984126984126984
MotifAnalysis.OutsidePentamer,0.376,0.31746031746031744
MotifAnalysis.OutsideTetramer,0.352,0.30158730158730157
MotifAnalysis.OutsideTrimer,0.384,0.35714285714285715
WiseCondorX.Wise-1,0.608,0.16666666666666666
WiseCondorX.Wise-5,0.4,0.19047619047619047
WiseCondorX.Wise-10,0.416,0.23015873015873015
Delfi.LengthRatio,0.12,0.0
DyadAccessibility.AluJ,0.216,0.03968253968253968
DyadAccessibility.AluS,0.312,0.1111111111111111
DyadAccessibility.AluY,0.304,0.1349206349206349
DyadAccessibility.BudhrajaRPR,0.312,0.015873015873015872
DyadAccessibility.cCRE_CTCF,0.12,0.047619047619047616
DyadAccessibility.cCRE_DistalEnhancers,0.144,0.03968253968253968
DyadAccessibility.cCRE_DNaseH3K4me3,0.104,0.05555555555555555
DyadAccessibility.cCRE_Promoters,0.104,0.05555555555555555
DyadAccessibility.cCRE_ProximalEnhancers,0.096,0.047619047619047616
DyadAccessibility.L1,0.088,0.047619047619047616
DyadAccessibility.LINEs,0.088,0.03968253968253968
ichorCNA.ichorCNA,0.3412698412698413,0.0873015873015873
LengthAnalysis.Length1,0.328,0.06349206349206349
LengthAnalysis.Length5,0.304,0.05555555555555555
LengthAnalysis.Length10,0.32,0.06349206349206349
LengthAnalysis.Length15,0.336,0.05555555555555555
LengthAnalysis.Length20,0.296,0.06349206349206349
