Variable Set,Classifier,mean,median,std,CoV
LengthAnalysis.Length1,might,0.5196078431372549,0.5196078431372549,0.001,0.0019245283018867923
DyadAccessibility.AluJ,might,0.47058823529411764,0.47058823529411764,0.001,0.002125
MotifAnalysis.OutsideTrimer,might,0.4215686274509804,0.4215686274509804,0.001,0.002372093023255814
LengthAnalysis.Length15,might,0.4117647058823529,0.4117647058823529,0.001,0.002428571428571429
MotifAnalysis.CongruentTetramer,might,0.4019607843137255,0.4019607843137255,0.001,0.0024878048780487805
LengthAnalysis.Length10,might,0.4019607843137255,0.4019607843137255,0.001,0.0024878048780487805
MotifAnalysis.InsideHexamer,might,0.4019607843137255,0.4019607843137255,0.001,0.0024878048780487805
MotifAnalysis.InsidePentamer,might,0.39215686274509803,0.39215686274509803,0.001,0.00255
DyadAccessibility.LINEs,might,0.3627450980392157,0.3627450980392157,0.001,0.002756756756756757
DyadAccessibility.L1,might,0.3627450980392157,0.3627450980392157,0.001,0.002756756756756757
DyadAccessibility.cCRE_DistalEnhancers,might,0.3431372549019608,0.3431372549019608,0.001,0.0029142857142857143
LengthAnalysis.Length5,might,0.4421568627450981,0.4411764705882353,0.0029411764705882413,0.0066518847006652015
MotifAnalysis.CongruentHexamer,might,0.42254901960784313,0.4215686274509804,0.0029411764705882413,0.006960556844547578
LociFraction.cCREFraction,might,0.7009803921568627,0.7009803921568627,0.004901960784313764,0.006993006993007048
DyadAccessibility.cCRE_CTCF,might,0.41274509803921566,0.4117647058823529,0.0029411764705882413,0.007125890736342058
MotifAnalysis.OutsidePentamer,might,0.488235294117647,0.49019607843137253,0.0039215686274509665,0.008032128514056198
MotifAnalysis.OutsideMonomer,might,0.46862745098039216,0.47058823529411764,0.003921568627450988,0.0083682008368201
DyadAccessibility.BudhrajaRPR,might,0.44901960784313727,0.45098039215686275,0.003921568627450988,0.008733624454148489
DyadAccessibility.AluY,might,0.5127450980392156,0.5098039215686274,0.004492721269564584,0.008762095019036091
MotifAnalysis.InsideTrimer,might,0.4137254901960784,0.4117647058823529,0.003921568627450988,0.00947867298578201
MotifAnalysis.OutsideTetramer,might,0.46372549019607845,0.46078431372549017,0.004492721269564559,0.009688320708151902
MotifAnalysis.DegenerateTetramer,might,0.3901960784313725,0.39215686274509803,0.003921568627450989,0.01005025125628143
MotifAnalysis.DegenerateHexamer,might,0.3803921568627451,0.38235294117647056,0.0039215686274509665,0.010309278350515427
MotifAnalysis.CongruentDimer,might,0.4245098039215686,0.4215686274509804,0.004492721269564559,0.010583315692738684
MotifAnalysis.InsideTrimer0.05,might,0.43725490196078437,0.4411764705882353,0.004802921064280725,0.010984258936247396
MotifAnalysis.InsideTrimer0.01,might,0.43627450980392163,0.4362745098039216,0.004901960784313708,0.011235955056179733
LociFraction.CompartmentFraction,might,0.6666666666666667,0.6666666666666666,0.007594084992563578,0.011391127488845366
LociFraction.LINEsFraction,might,0.6970588235294117,0.696078431372549,0.008143748885213818,0.011683015278365816
MotifAnalysis.OutsideDimer,might,0.40588235294117647,0.4019607843137255,0.004802921064280724,0.011833283781561203
MotifAnalysis.InsideTetramer,might,0.39803921568627454,0.4019607843137255,0.004802921064280752,0.012066451934892529
LociFraction.AluFraction,might,0.5745098039215686,0.5784313725490197,0.00784313725490198,0.013651877133105837
LengthAnalysis.Length20,might,0.40980392156862744,0.4117647058823529,0.00588235294117646,0.014354066985645907
MotifAnalysis.OutsideHexamer,might,0.4901960784313726,0.49019607843137253,0.007594084992563557,0.015491933384829654
Delfi.LengthRatio,might,0.5441176470588236,0.5490196078431373,0.009038769075777357,0.016611791814942167
DyadAccessibility.cCRE_Promoters,might,0.4931372549019608,0.49019607843137253,0.008823529411764699,0.017892644135188852
DyadAccessibility.cCRE_DNaseH3K4me3,might,0.5392156862745099,0.5392156862745098,0.009803921568627461,0.0181818181818182
DyadAccessibility.AluS,might,0.5019607843137255,0.5098039215686274,0.010559146680655876,0.021035800027869127
DyadAccessibility.cCRE_ProximalEnhancers,might,0.42941176470588244,0.43137254901960786,0.010559146680655893,0.024589793639883582
MotifAnalysis.InsideDimer,might,0.4401960784313726,0.4411764705882353,0.011135114403529938,0.025295805549221683
MotifAnalysis.InsideMonomer,might,0.46176470588235297,0.45588235294117646,0.011967211387974219,0.025916253961218053
MotifAnalysis.InsideTrimer0.01,svm,0.7029411764705883,0.7107843137254902,0.021944146358430783,0.031217614066386887
MotifAnalysis.InsideTrimer0.05,svm,0.7098039215686275,0.7107843137254902,0.022866478019001185,0.03221520383892432
MotifAnalysis.DegenerateHexamer,svm,0.7098039215686276,0.7058823529411765,0.025262938679853186,0.03559143294675448
DyadAccessibility.AluJ,svm,0.48529411764705876,0.4803921568627451,0.02021130208636107,0.041647531571895546
LengthAnalysis.Length5,svm,0.5764705882352941,0.5686274509803921,0.024332693423511482,0.04220977430609135
LociFraction.CompartmentFraction,lr,0.6421568627450981,0.642156862745098,0.027116307227332034,0.04222692117844072
