n_samples,sim_type,model,metric,metric_value
4096,mean_shiftv2,knn,sas98,0.02050330967857356
4096,mean_shiftv2,knn,sas98,0.03369312421730575
4096,mean_shiftv2,knn,sas98,0.03514819011270797
4096,mean_shiftv2,knn,sas98,0.02734450474089093
4096,mean_shiftv2,knn,sas98,0.030784185103464735
4096,mean_shiftv2,knn,sas98,0.028321307173951937
4096,mean_shiftv2,knn,sas98,0.03417854374142763
4096,mean_shiftv2,knn,sas98,0.0278239608801956
4096,mean_shiftv2,knn,sas98,0.044911443735464254
4096,mean_shiftv2,knn,sas98,0.03420001192676963
4096,mean_shiftv2,knn,sas98,0.03710179497882999
4096,mean_shiftv2,knn,sas98,0.024405748702963803
4096,mean_shiftv2,knn,sas98,0.024894746257976025
4096,mean_shiftv2,knn,sas98,0.034662770588586085
4096,mean_shiftv2,knn,sas98,0.040032202278013004
4096,mean_shiftv2,knn,sas98,0.03907328999940366
4096,mean_shiftv2,knn,sas98,0.019527699922476
4096,mean_shiftv2,knn,sas98,0.026374858369610586
4096,mean_shiftv2,knn,sas98,0.02685669986284215
4096,mean_shiftv2,knn,sas98,0.021004234003220226
4096,mean_shiftv2,knn,sas98,0.023437295008646906
4096,mean_shiftv2,knn,sas98,0.021967916989683346
4096,mean_shiftv2,knn,sas98,0.036117836483988315
4096,mean_shiftv2,knn,sas98,0.029301687637903272
4096,mean_shiftv2,knn,sas98,0.033208897370147296
4096,mean_shiftv2,knn,sas98,0.03760987536525732
4096,mean_shiftv2,knn,sas98,0.025881090106744588
4096,mean_shiftv2,knn,sas98,0.020016697477488223
4096,mean_shiftv2,knn,sas98,0.03759437056473254
4096,mean_shiftv2,knn,sas98,0.03465919255769575
4096,mean_shiftv2,knn,sas98,0.02342536823901246
4096,mean_shiftv2,knn,sas98,0.031246943765281178
4096,mean_shiftv2,knn,sas98,0.03174548273600095
4096,mean_shiftv2,knn,sas98,0.041992963205915675
4096,mean_shiftv2,knn,sas98,0.03175263879778162
4096,mean_shiftv2,knn,sas98,0.027340926710000595
4096,mean_shiftv2,knn,sas98,0.03467350468125708
4096,mean_shiftv2,knn,sas98,0.03906374858369611
4096,mean_shiftv2,knn,sas98,0.04100304132625678
4096,mean_shiftv2,knn,sas98,0.04883177291430616
4096,mean_shiftv2,knn,sas98,0.023446836424354463
4096,mean_shiftv2,knn,sas98,0.02879837795932972
