n_samples,sim_type,model,metric,metric_value
256,multi_modalv2,knn_viewone,sas98,0.0
256,multi_modalv2,knn_viewone,sas98,0.05476923076923077
256,multi_modalv2,knn_viewone,sas98,0.015692307692307693
256,multi_modalv2,knn_viewone,sas98,0.0
256,multi_modalv2,knn_viewone,sas98,0.023076923076923078
256,multi_modalv2,knn_viewone,sas98,0.03907692307692308
256,multi_modalv2,knn_viewone,sas98,0.047384615384615386
256,multi_modalv2,knn_viewone,sas98,0.0
256,multi_modalv2,knn_viewone,sas98,0.05446153846153847
256,multi_modalv2,knn_viewone,sas98,0.015692307692307693
256,multi_modalv2,knn_viewone,sas98,0.023692307692307693
256,multi_modalv2,knn_viewone,sas98,0.023076923076923078
256,multi_modalv2,knn_viewone,sas98,0.015692307692307693
256,multi_modalv2,knn_viewone,sas98,0.031384615384615386
256,multi_modalv2,knn_viewone,sas98,0.015384615384615385
256,multi_modalv2,knn_viewone,sas98,0.03876923076923077
256,multi_modalv2,knn_viewone,sas98,0.0
256,multi_modalv2,knn_viewone,sas98,0.023076923076923078
256,multi_modalv2,knn_viewone,sas98,0.016
256,multi_modalv2,knn_viewone,sas98,0.054461538461538464
256,multi_modalv2,knn_viewone,sas98,0.05476923076923077
256,multi_modalv2,knn_viewone,sas98,0.023692307692307693
256,multi_modalv2,knn_viewone,sas98,0.03169230769230769
256,multi_modalv2,knn_viewone,sas98,0.03876923076923077
256,multi_modalv2,knn_viewone,sas98,0.04676923076923077
256,multi_modalv2,knn_viewone,sas98,0.023692307692307693
256,multi_modalv2,knn_viewone,sas98,0.023076923076923078
256,multi_modalv2,knn_viewone,sas98,0.039384615384615386
256,multi_modalv2,knn_viewone,sas98,0.007692307692307693
256,multi_modalv2,knn_viewone,sas98,0.007692307692307693
256,multi_modalv2,knn_viewone,sas98,0.04707692307692308
256,multi_modalv2,knn_viewone,sas98,0.023076923076923078
256,multi_modalv2,knn_viewone,sas98,0.008
256,multi_modalv2,knn_viewone,sas98,0.031384615384615386
256,multi_modalv2,knn_viewone,sas98,0.04676923076923077
256,multi_modalv2,knn_viewone,sas98,0.031384615384615386
256,multi_modalv2,knn_viewone,sas98,0.05569230769230769
256,multi_modalv2,knn_viewone,sas98,0.015692307692307693
256,multi_modalv2,knn_viewone,sas98,0.03076923076923077
256,multi_modalv2,knn_viewone,sas98,0.048
256,multi_modalv2,knn_viewone,sas98,0.038461538461538464
256,multi_modalv2,knn_viewone,sas98,0.023384615384615386
256,multi_modalv2,knn_viewone,sas98,0.015692307692307693
256,multi_modalv2,knn_viewone,sas98,0.0
256,multi_modalv2,knn_viewone,sas98,0.05415384615384615
256,multi_modalv2,knn_viewone,sas98,0.047384615384615386
256,multi_modalv2,knn_viewone,sas98,0.0
256,multi_modalv2,knn_viewone,sas98,0.015384615384615385
256,multi_modalv2,knn_viewone,sas98,0.038461538461538464
256,multi_modalv2,knn_viewone,sas98,0.015692307692307693
256,multi_modalv2,knn_viewone,sas98,0.023692307692307693
256,multi_modalv2,knn_viewone,sas98,0.03876923076923077
256,multi_modalv2,knn_viewone,sas98,0.016
256,multi_modalv2,knn_viewone,sas98,0.015692307692307693
256,multi_modalv2,knn_viewone,sas98,0.031384615384615386
256,multi_modalv2,knn_viewone,sas98,0.046461538461538464
256,multi_modalv2,knn_viewone,sas98,0.0
256,multi_modalv2,knn_viewone,sas98,0.04707692307692308
256,multi_modalv2,knn_viewone,sas98,0.03107692307692308
256,multi_modalv2,knn_viewone,sas98,0.007692307692307693
256,multi_modalv2,knn_viewone,sas98,0.046153846153846156
