n_dims_1,sim_type,model,metric,metric_value
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.6593406593406593
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.3196803196803197
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.48151848151848153
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.023976023976023976
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.1798201798201798
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.06593406593406594
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.9600399600399601
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.06993006993006994
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.43756243756243757
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.6023976023976024
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.7402597402597403
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.004995004995004995
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.22977022977022976
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.003996003996003996
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.7232767232767233
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.21978021978021978
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.14785214785214784
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.8451548451548452
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.986013986013986
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.15684315684315683
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.5344655344655345
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.004995004995004995
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.16383616383616384
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.2967032967032967
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.016983016983016984
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.1048951048951049
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.15484515484515485
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.11688311688311688
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.2827172827172827
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.4275724275724276
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.4035964035964036
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.08691308691308691
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.03896103896103896
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.00999000999000999
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.07392607392607392
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.03196803196803197
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.0979020979020979
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.7272727272727273
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.1978021978021978
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.014985014985014986
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.14585414585414586
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.17182817182817184
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.11888111888111888
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.16583416583416583
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.002997002997002997
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.31368631368631367
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.04795204795204795
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.00999000999000999
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.3026973026973027
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.000999000999000999
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.017982017982017984
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.7092907092907093
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.43956043956043955
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.11588411588411589
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.22277722277722278
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.0939060939060939
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.06893106893106893
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.001998001998001998
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.2597402597402597
