n_dims_1,sim_type,model,metric,metric_value
2,multi_equal,lr,auc,0.511260986328125
2,multi_equal,lr,auc,0.46955108642578125
2,multi_equal,lr,auc,0.5226898193359375
2,multi_equal,lr,auc,0.499755859375
2,multi_equal,lr,auc,0.4726409912109375
2,multi_equal,lr,auc,0.4538421630859375
2,multi_equal,lr,auc,0.4947967529296875
2,multi_equal,lr,auc,0.553985595703125
2,multi_equal,lr,auc,0.5103912353515625
2,multi_equal,lr,auc,0.5310821533203125
2,multi_equal,lr,auc,0.5498504638671875
2,multi_equal,lr,auc,0.5125885009765625
2,multi_equal,lr,auc,0.4647979736328125
2,multi_equal,lr,auc,0.413848876953125
2,multi_equal,lr,auc,0.5215911865234375
2,multi_equal,lr,auc,0.4960174560546875
2,multi_equal,lr,auc,0.5459747314453125
2,multi_equal,lr,auc,0.482940673828125
2,multi_equal,lr,auc,0.5136871337890625
2,multi_equal,lr,auc,0.4649658203125
2,multi_equal,lr,auc,0.5064697265625
2,multi_equal,lr,auc,0.5289459228515625
2,multi_equal,lr,auc,0.4720611572265625
2,multi_equal,lr,auc,0.42822265625
2,multi_equal,lr,auc,0.5482177734375
2,multi_equal,lr,auc,0.553497314453125
2,multi_equal,lr,auc,0.54559326171875
2,multi_equal,lr,auc,0.500030517578125
2,multi_equal,lr,auc,0.484466552734375
2,multi_equal,lr,auc,0.5242767333984375
2,multi_equal,lr,auc,0.4687957763671875
2,multi_equal,lr,auc,0.469146728515625
2,multi_equal,lr,auc,0.493927001953125
2,multi_equal,lr,auc,0.4473114013671875
2,multi_equal,lr,auc,0.531036376953125
2,multi_equal,lr,auc,0.5068511962890625
2,multi_equal,lr,auc,0.534637451171875
2,multi_equal,lr,auc,0.51104736328125
2,multi_equal,lr,auc,0.5123748779296875
2,multi_equal,lr,auc,0.5337982177734375
2,multi_equal,lr,auc,0.5066680908203125
2,multi_equal,lr,auc,0.482818603515625
2,multi_equal,lr,auc,0.51611328125
2,multi_equal,lr,auc,0.520843505859375
2,multi_equal,lr,auc,0.50897216796875
2,multi_equal,lr,auc,0.4893798828125
2,multi_equal,lr,auc,0.49005126953125
2,multi_equal,lr,auc,0.5546417236328125
2,multi_equal,lr,auc,0.539093017578125
2,multi_equal,lr,auc,0.515533447265625
2,multi_equal,lr,auc,0.51739501953125
2,multi_equal,lr,auc,0.410369873046875
2,multi_equal,lr,auc,0.425323486328125
2,multi_equal,lr,auc,0.502166748046875
2,multi_equal,lr,auc,0.5019989013671875
2,multi_equal,lr,auc,0.5310211181640625
2,multi_equal,lr,auc,0.5871734619140625
2,multi_equal,lr,auc,0.4530792236328125
2,multi_equal,lr,auc,0.483917236328125
2,multi_equal,lr,auc,0.464874267578125
2,multi_equal,lr,auc,0.5290069580078125
2,multi_equal,lr,auc,0.4898529052734375
2,multi_equal,lr,auc,0.38848876953125
2,multi_equal,lr,auc,0.5587005615234375
2,multi_equal,lr,auc,0.517120361328125
2,multi_equal,lr,auc,0.5171966552734375
2,multi_equal,lr,auc,0.5195770263671875
2,multi_equal,lr,auc,0.516510009765625
2,multi_equal,lr,auc,0.4992828369140625
2,multi_equal,lr,auc,0.5329132080078125
2,multi_equal,lr,auc,0.46307373046875
2,multi_equal,lr,auc,0.480743408203125
2,multi_equal,lr,auc,0.5125274658203125
2,multi_equal,lr,auc,0.4998779296875
2,multi_equal,lr,auc,0.498565673828125
2,multi_equal,lr,auc,0.4629364013671875
2,multi_equal,lr,auc,0.5112762451171875
2,multi_equal,lr,auc,0.506561279296875
2,multi_equal,lr,auc,0.4566192626953125
2,multi_equal,lr,auc,0.5149993896484375
2,multi_equal,lr,auc,0.451141357421875
2,multi_equal,lr,auc,0.4466400146484375
2,multi_equal,lr,auc,0.55926513671875
2,multi_equal,lr,auc,0.4578094482421875
2,multi_equal,lr,auc,0.5148773193359375
2,multi_equal,lr,auc,0.5168609619140625
2,multi_equal,lr,auc,0.4583892822265625
2,multi_equal,lr,auc,0.482513427734375
2,multi_equal,lr,auc,0.486602783203125
2,multi_equal,lr,auc,0.47442626953125
2,multi_equal,lr,auc,0.5091705322265625
2,multi_equal,lr,auc,0.5585174560546875
2,multi_equal,lr,auc,0.50054931640625
2,multi_equal,lr,auc,0.47381591796875
2,multi_equal,lr,auc,0.5015411376953125
2,multi_equal,lr,auc,0.475341796875
2,multi_equal,lr,auc,0.5092315673828125
2,multi_equal,lr,auc,0.434051513671875
2,multi_equal,lr,auc,0.5472259521484375
2,multi_equal,lr,auc,0.4537506103515625
10,multi_equal,lr,auc,0.490203857421875
10,multi_equal,lr,auc,0.4782562255859375
10,multi_equal,lr,auc,0.52593994140625
10,multi_equal,lr,auc,0.4688720703125
10,multi_equal,lr,auc,0.484130859375
10,multi_equal,lr,auc,0.47320556640625
10,multi_equal,lr,auc,0.5019378662109375
10,multi_equal,lr,auc,0.5473480224609375
10,multi_equal,lr,auc,0.4462432861328125
10,multi_equal,lr,auc,0.5032958984375
10,multi_equal,lr,auc,0.534027099609375
10,multi_equal,lr,auc,0.502838134765625
10,multi_equal,lr,auc,0.5558929443359375
10,multi_equal,lr,auc,0.452423095703125
10,multi_equal,lr,auc,0.500457763671875
10,multi_equal,lr,auc,0.481842041015625
10,multi_equal,lr,auc,0.5497283935546875
10,multi_equal,lr,auc,0.4898681640625
10,multi_equal,lr,auc,0.50872802734375
10,multi_equal,lr,auc,0.4205474853515625
10,multi_equal,lr,auc,0.4638214111328125
10,multi_equal,lr,auc,0.5060272216796875
10,multi_equal,lr,auc,0.4763031005859375
10,multi_equal,lr,auc,0.4000701904296875
10,multi_equal,lr,auc,0.5461883544921875
10,multi_equal,lr,auc,0.497222900390625
10,multi_equal,lr,auc,0.577850341796875
10,multi_equal,lr,auc,0.5313262939453125
10,multi_equal,lr,auc,0.5235443115234375
10,multi_equal,lr,auc,0.5011749267578125
10,multi_equal,lr,auc,0.455963134765625
10,multi_equal,lr,auc,0.5087127685546875
10,multi_equal,lr,auc,0.4709014892578125
10,multi_equal,lr,auc,0.4629974365234375
10,multi_equal,lr,auc,0.4872589111328125
10,multi_equal,lr,auc,0.4489288330078125
10,multi_equal,lr,auc,0.4838104248046875
10,multi_equal,lr,auc,0.465789794921875
10,multi_equal,lr,auc,0.4939422607421875
10,multi_equal,lr,auc,0.53594970703125
10,multi_equal,lr,auc,0.5073089599609375
10,multi_equal,lr,auc,0.4884033203125
10,multi_equal,lr,auc,0.5193023681640625
10,multi_equal,lr,auc,0.530914306640625
10,multi_equal,lr,auc,0.519989013671875
10,multi_equal,lr,auc,0.5190277099609375
10,multi_equal,lr,auc,0.514556884765625
10,multi_equal,lr,auc,0.5619659423828125
10,multi_equal,lr,auc,0.5298309326171875
10,multi_equal,lr,auc,0.50323486328125
10,multi_equal,lr,auc,0.5024871826171875
10,multi_equal,lr,auc,0.4699859619140625
10,multi_equal,lr,auc,0.499420166015625
10,multi_equal,lr,auc,0.500640869140625
10,multi_equal,lr,auc,0.5110321044921875
10,multi_equal,lr,auc,0.49749755859375
10,multi_equal,lr,auc,0.5590362548828125
10,multi_equal,lr,auc,0.413604736328125
10,multi_equal,lr,auc,0.4463958740234375
10,multi_equal,lr,auc,0.5505523681640625
10,multi_equal,lr,auc,0.5175933837890625
10,multi_equal,lr,auc,0.468017578125
10,multi_equal,lr,auc,0.4646759033203125
10,multi_equal,lr,auc,0.52154541015625
10,multi_equal,lr,auc,0.5245208740234375
10,multi_equal,lr,auc,0.49615478515625
10,multi_equal,lr,auc,0.497222900390625
10,multi_equal,lr,auc,0.500946044921875
10,multi_equal,lr,auc,0.54339599609375
10,multi_equal,lr,auc,0.543243408203125
10,multi_equal,lr,auc,0.4365692138671875
10,multi_equal,lr,auc,0.5615997314453125
10,multi_equal,lr,auc,0.4889373779296875
10,multi_equal,lr,auc,0.4622039794921875
10,multi_equal,lr,auc,0.47210693359375
10,multi_equal,lr,auc,0.4894256591796875
10,multi_equal,lr,auc,0.5486907958984375
10,multi_equal,lr,auc,0.51708984375
10,multi_equal,lr,auc,0.46343994140625
10,multi_equal,lr,auc,0.5323944091796875
10,multi_equal,lr,auc,0.4725799560546875
10,multi_equal,lr,auc,0.4268341064453125
