sas98,cmi,idx,n_samples,n_dims_1,n_dims_2
-0.0234375,-3.4115072520268797e-06,0,512,2,6
0.015625,3.923842265174393e-05,0,512,10,6
0.015625,0.00012138862903632308,0,512,26,6
0.03125,-0.0005886633836442723,0,512,58,6
0.0234375,8.153210152983537e-05,0,512,122,6
0.00390625,-0.0019914174949096086,0,512,250,6
0.0,1.9974589442806057e-05,0,512,506,6
0.0,-0.0002517154707402103,0,512,1018,6
0.0,0.0006574028539598764,1,512,2,6
0.0078125,-0.0007513247606635298,1,512,10,6
-0.00390625,-2.6918395717223653e-05,1,512,26,6
-0.00390625,0.00012207802269026402,1,512,58,6
0.01953125,-7.910530232402291e-05,1,512,122,6
-0.0078125,0.0019534570195847145,1,512,250,6
0.0,-0.00015268064642914858,1,512,506,6
-0.0078125,0.00013201281781882734,1,512,1018,6
-0.00390625,-0.0005366636711104933,2,512,2,6
0.0078125,0.0008388082323768087,2,512,10,6
-0.0078125,-0.00016877345750543338,2,512,26,6
-0.0078125,0.0004451687451865194,2,512,58,6
-0.01953125,0.00010705513718500814,2,512,122,6
0.0,9.081936863686302e-05,2,512,250,6
0.0,0.00013480134601107086,2,512,506,6
0.015625,3.670952341128242e-05,2,512,1018,6
0.00390625,-0.0033531549114113046,3,512,2,6
-0.01171875,-0.0018973576664989,3,512,10,6
-0.05078125,-0.0009774320528529445,3,512,26,6
-0.00390625,-0.00030659073725791686,3,512,58,6
0.0,0.00014419978154533997,3,512,122,6
-0.02734375,-9.767460929333005e-05,3,512,250,6
0.00390625,0.00010827329082696568,3,512,506,6
-0.01171875,-7.623716197824315e-05,3,512,1018,6
0.01171875,0.003909708371477971,4,512,2,6
0.015625,0.0014871749573119875,4,512,10,6
0.05859375,0.0011138396701946274,4,512,26,6
0.01171875,0.00018730450279647037,4,512,58,6
0.01171875,-0.0003802015953089377,4,512,122,6
0.015625,-7.921711761782468e-06,4,512,250,6
0.0078125,-5.7586299224698934e-05,4,512,506,6
0.01171875,5.311579296507496e-05,4,512,1018,6
0.01171875,-0.0009556347009099797,5,512,2,6
-0.015625,-0.0004582883159092166,5,512,10,6
-0.0234375,-8.28436992960091e-05,5,512,26,6
-0.0078125,-9.042150617621925e-05,5,512,58,6
-0.0078125,9.274849535956253e-05,5,512,122,6
0.01953125,5.521596530544404e-05,5,512,250,6
-0.01171875,-2.8794589490566125e-06,5,512,506,6
-0.03125,-3.865276562597941e-06,5,512,1018,6
