sas98,idx,n_samples,n_dims_1,n_dims_2
0.0546875,0,256,5,6
0.0234375,0,256,13,6
0.078125,0,256,29,6
0.0859375,0,256,61,6
0.171875,0,256,125,6
0.0078125,0,256,253,6
0.0234375,0,256,509,6
0.0234375,0,256,1021,6
0.0390625,1,256,5,6
0.0625,1,256,13,6
0.171875,1,256,29,6
0.03125,1,256,61,6
0.265625,1,256,125,6
0.1015625,1,256,253,6
0.1640625,1,256,509,6
0.0390625,1,256,1021,6
0.0703125,2,256,5,6
0.0234375,2,256,13,6
0.046875,2,256,29,6
0.046875,2,256,61,6
0.09375,2,256,125,6
0.0625,2,256,253,6
-0.03125,2,256,509,6
0.015625,2,256,1021,6
0.03125,3,256,5,6
0.015625,3,256,13,6
0.109375,3,256,29,6
0.1171875,3,256,61,6
0.1015625,3,256,125,6
0.109375,3,256,253,6
0.0234375,3,256,509,6
0.015625,3,256,1021,6
0.078125,4,256,5,6
0.0078125,4,256,13,6
0.0625,4,256,29,6
0.0234375,4,256,61,6
-0.0625,4,256,125,6
0.0859375,4,256,253,6
0.0390625,4,256,509,6
-0.0234375,4,256,1021,6
0.0703125,5,256,5,6
0.0703125,5,256,13,6
0.0390625,5,256,29,6
0.1171875,5,256,61,6
0.0546875,5,256,125,6
0.0703125,5,256,253,6
0.03125,5,256,509,6
0.0625,5,256,1021,6
0.09375,6,256,5,6
0.171875,6,256,13,6
0.1875,6,256,29,6
0.171875,6,256,61,6
0.1171875,6,256,125,6
0.046875,6,256,253,6
0.046875,6,256,509,6
-0.0078125,6,256,1021,6
0.0546875,7,256,5,6
0.0703125,7,256,13,6
0.1484375,7,256,29,6
0.1640625,7,256,61,6
0.078125,7,256,125,6
0.0625,7,256,253,6
0.0390625,7,256,509,6
-0.0078125,7,256,1021,6
0.015625,8,256,5,6
-0.0234375,8,256,13,6
0.03125,8,256,29,6
0.03125,8,256,61,6
-0.015625,8,256,125,6
-0.015625,8,256,253,6
-0.015625,8,256,509,6
0.0,8,256,1021,6
0.046875,9,256,5,6
-0.0078125,9,256,13,6
0.0703125,9,256,29,6
0.046875,9,256,61,6
0.0625,9,256,125,6
0.03125,9,256,253,6
-0.0234375,9,256,509,6
0.0625,9,256,1021,6
0.0859375,10,256,5,6
0.046875,10,256,13,6
0.0078125,10,256,29,6
-0.0234375,10,256,61,6
0.0625,10,256,125,6
0.0234375,10,256,253,6
0.0078125,10,256,509,6
0.0,10,256,1021,6
0.046875,11,256,5,6
0.046875,11,256,13,6
0.0390625,11,256,29,6
0.0703125,11,256,61,6
0.046875,11,256,125,6
0.03125,11,256,253,6
-0.0078125,11,256,509,6
-0.03125,11,256,1021,6
0.15625,12,256,5,6
0.125,12,256,13,6
0.1171875,12,256,29,6
0.1171875,12,256,61,6
0.15625,12,256,125,6
0.0859375,12,256,253,6
0.03125,12,256,509,6
0.03125,12,256,1021,6
0.1640625,13,256,5,6
0.109375,13,256,13,6
0.0703125,13,256,29,6
0.140625,13,256,61,6
0.0859375,13,256,125,6
0.0625,13,256,253,6
-0.0078125,13,256,509,6
0.0078125,13,256,1021,6
0.0859375,14,256,5,6
0.1171875,14,256,13,6
0.1328125,14,256,29,6
0.0546875,14,256,61,6
0.015625,14,256,125,6
0.0234375,14,256,253,6
0.0,14,256,509,6
0.0,14,256,1021,6
0.109375,15,256,5,6
0.0234375,15,256,13,6
0.015625,15,256,29,6
0.140625,15,256,61,6
0.171875,15,256,125,6
-0.03125,15,256,253,6
0.015625,15,256,509,6
-0.015625,15,256,1021,6
0.03125,16,256,5,6
0.078125,16,256,13,6
-0.0078125,16,256,29,6
0.0625,16,256,61,6
0.125,16,256,125,6
0.0703125,16,256,253,6
0.0625,16,256,509,6
0.03125,16,256,1021,6
0.0625,17,256,5,6
0.0625,17,256,13,6
0.0234375,17,256,29,6
-0.0234375,17,256,61,6
0.0703125,17,256,125,6
0.015625,17,256,253,6
-0.0078125,17,256,509,6
-0.0078125,17,256,1021,6
0.046875,18,256,5,6
0.1171875,18,256,13,6
0.015625,18,256,29,6
0.015625,18,256,61,6
-0.0234375,18,256,125,6
0.015625,18,256,253,6
0.1171875,18,256,509,6
-0.0546875,18,256,1021,6
0.0,19,256,5,6
0.078125,19,256,13,6
0.0390625,19,256,29,6
0.015625,19,256,61,6
0.0546875,19,256,125,6
0.078125,19,256,253,6
0.0546875,19,256,509,6
0.015625,19,256,1021,6
0.0234375,20,256,5,6
0.078125,20,256,13,6
-0.0078125,20,256,29,6
-0.0078125,20,256,61,6
0.0234375,20,256,125,6
-0.0078125,20,256,253,6
0.0859375,20,256,509,6
-0.0234375,20,256,1021,6
0.0078125,21,256,5,6
0.0546875,21,256,13,6
-0.0234375,21,256,29,6
0.09375,21,256,61,6
0.109375,21,256,125,6
0.0390625,21,256,253,6
0.0546875,21,256,509,6
0.0546875,21,256,1021,6
0.0390625,22,256,5,6
0.0234375,22,256,13,6
0.0078125,22,256,29,6
0.0703125,22,256,61,6
0.046875,22,256,125,6
-0.0234375,22,256,253,6
0.046875,22,256,509,6
0.0,22,256,1021,6
0.0,23,256,5,6
0.078125,23,256,13,6
0.09375,23,256,29,6
0.0703125,23,256,61,6
0.0625,23,256,125,6
0.0,23,256,253,6
0.0625,23,256,509,6
-0.0078125,23,256,1021,6
-0.015625,24,256,5,6
0.046875,24,256,13,6
0.1015625,24,256,29,6
0.0078125,24,256,61,6
0.015625,24,256,125,6
0.0546875,24,256,253,6
-0.015625,24,256,509,6
0.0078125,24,256,1021,6
0.0703125,25,256,5,6
0.0234375,25,256,13,6
0.0546875,25,256,29,6
0.09375,25,256,61,6
0.0546875,25,256,125,6
0.0625,25,256,253,6
0.015625,25,256,509,6
-0.0078125,25,256,1021,6
0.0546875,26,256,5,6
0.0546875,26,256,13,6
0.0078125,26,256,29,6
0.0234375,26,256,61,6
-0.0078125,26,256,125,6
-0.0078125,26,256,253,6
0.078125,26,256,509,6
0.015625,26,256,1021,6
0.0078125,27,256,5,6
-0.0234375,27,256,13,6
0.1015625,27,256,29,6
0.109375,27,256,61,6
0.0,27,256,125,6
0.1171875,27,256,253,6
0.0078125,27,256,509,6
-0.015625,27,256,1021,6
0.125,28,256,5,6
0.1484375,28,256,13,6
0.09375,28,256,29,6
0.1640625,28,256,61,6
0.1484375,28,256,125,6
0.1640625,28,256,253,6
0.0625,28,256,509,6
0.0859375,28,256,1021,6
0.046875,29,256,5,6
0.078125,29,256,13,6
0.03125,29,256,29,6
0.1875,29,256,61,6
0.1484375,29,256,125,6
0.078125,29,256,253,6
0.0625,29,256,509,6
-0.0390625,29,256,1021,6
0.015625,30,256,5,6
0.0078125,30,256,13,6
0.171875,30,256,29,6
0.0859375,30,256,61,6
0.0859375,30,256,125,6
0.1171875,30,256,253,6
0.046875,30,256,509,6
-0.0390625,30,256,1021,6
0.0234375,31,256,5,6
0.046875,31,256,13,6
-0.0078125,31,256,29,6
0.0703125,31,256,61,6
0.0078125,31,256,125,6
0.0625,31,256,253,6
0.0390625,31,256,509,6
0.046875,31,256,1021,6
0.140625,32,256,5,6
0.0703125,32,256,13,6
0.0859375,32,256,29,6
0.0859375,32,256,61,6
0.046875,32,256,125,6
0.0078125,32,256,253,6
0.0078125,32,256,509,6
-0.015625,32,256,1021,6
0.015625,33,256,5,6
0.0625,33,256,13,6
0.015625,33,256,29,6
0.0,33,256,61,6
0.0078125,33,256,125,6
0.09375,33,256,253,6
0.0234375,33,256,509,6
0.0859375,33,256,1021,6
0.015625,34,256,5,6
0.0078125,34,256,13,6
0.03125,34,256,29,6
0.046875,34,256,61,6
0.03125,34,256,125,6
0.015625,34,256,253,6
-0.015625,34,256,509,6
0.0,34,256,1021,6
0.1171875,35,256,5,6
-0.0078125,35,256,13,6
0.0390625,35,256,29,6
0.015625,35,256,61,6
0.0625,35,256,125,6
0.03125,35,256,253,6
0.0546875,35,256,509,6
-0.046875,35,256,1021,6
0.015625,36,256,5,6
0.0078125,36,256,13,6
0.0078125,36,256,29,6
0.0234375,36,256,61,6
0.015625,36,256,125,6
-0.0234375,36,256,253,6
0.0078125,36,256,509,6
0.0,36,256,1021,6
0.0546875,37,256,5,6
-0.015625,37,256,13,6
0.0,37,256,29,6
0.03125,37,256,61,6
0.046875,37,256,125,6
0.046875,37,256,253,6
0.0078125,37,256,509,6
0.015625,37,256,1021,6
0.0625,38,256,5,6
0.0,38,256,13,6
0.015625,38,256,29,6
0.1328125,38,256,61,6
0.0,38,256,125,6
0.0078125,38,256,253,6
0.03125,38,256,509,6
0.0078125,38,256,1021,6
0.03125,39,256,5,6
0.0859375,39,256,13,6
0.0078125,39,256,29,6
0.0625,39,256,61,6
0.015625,39,256,125,6
0.109375,39,256,253,6
-0.015625,39,256,509,6
0.0078125,39,256,1021,6
0.09375,40,256,5,6
-0.0234375,40,256,13,6
0.0,40,256,29,6
0.0625,40,256,61,6
0.0859375,40,256,125,6
0.0390625,40,256,253,6
0.03125,40,256,509,6
0.0703125,40,256,1021,6
0.25,41,256,5,6
0.015625,41,256,13,6
0.125,41,256,29,6
0.1953125,41,256,61,6
0.1171875,41,256,125,6
0.109375,41,256,253,6
0.0546875,41,256,509,6
0.0625,41,256,1021,6
0.046875,42,256,5,6
0.0390625,42,256,13,6
0.0859375,42,256,29,6
-0.0078125,42,256,61,6
-0.0234375,42,256,125,6
0.0546875,42,256,253,6
0.015625,42,256,509,6
0.0234375,42,256,1021,6
0.03125,43,256,5,6
0.046875,43,256,13,6
0.15625,43,256,29,6
0.0859375,43,256,61,6
0.1015625,43,256,125,6
0.03125,43,256,253,6
0.0859375,43,256,509,6
0.0078125,43,256,1021,6
0.0859375,44,256,5,6
0.0546875,44,256,13,6
0.1484375,44,256,29,6
0.078125,44,256,61,6
-0.015625,44,256,125,6
0.0390625,44,256,253,6
0.078125,44,256,509,6
0.0,44,256,1021,6
-0.015625,45,256,5,6
-0.0078125,45,256,13,6
0.0234375,45,256,29,6
0.0859375,45,256,61,6
0.0546875,45,256,125,6
-0.0234375,45,256,253,6
0.046875,45,256,509,6
-0.0078125,45,256,1021,6
-0.0078125,46,256,5,6
0.0,46,256,13,6
0.0234375,46,256,29,6
0.015625,46,256,61,6
0.0234375,46,256,125,6
0.046875,46,256,253,6
-0.0234375,46,256,509,6
-0.015625,46,256,1021,6
0.1328125,47,256,5,6
0.0703125,47,256,13,6
0.1171875,47,256,29,6
0.109375,47,256,61,6
0.0546875,47,256,125,6
0.1171875,47,256,253,6
0.0546875,47,256,509,6
0.1171875,47,256,1021,6
0.03125,48,256,5,6
0.03125,48,256,13,6
0.09375,48,256,29,6
0.171875,48,256,61,6
0.046875,48,256,125,6
0.09375,48,256,253,6
0.046875,48,256,509,6
0.0390625,48,256,1021,6
0.0625,49,256,5,6
0.015625,49,256,13,6
0.0390625,49,256,29,6
0.078125,49,256,61,6
0.046875,49,256,125,6
0.046875,49,256,253,6
0.0390625,49,256,509,6
0.0234375,49,256,1021,6
0.0625,50,256,5,6
0.0078125,50,256,13,6
0.0546875,50,256,29,6
0.0546875,50,256,61,6
0.0234375,50,256,125,6
0.0234375,50,256,253,6
-0.0390625,50,256,509,6
0.0234375,50,256,1021,6
0.0078125,51,256,5,6
0.0546875,51,256,13,6
0.0390625,51,256,29,6
0.1015625,51,256,61,6
0.078125,51,256,125,6
-0.0078125,51,256,253,6
-0.0078125,51,256,509,6
-0.015625,51,256,1021,6
0.0234375,52,256,5,6
-0.015625,52,256,13,6
0.0546875,52,256,29,6
0.0078125,52,256,61,6
0.0234375,52,256,125,6
0.0078125,52,256,253,6
0.0,52,256,509,6
0.0234375,52,256,1021,6
0.0078125,53,256,5,6
0.0703125,53,256,13,6
0.0390625,53,256,29,6
0.078125,53,256,61,6
0.0859375,53,256,125,6
0.03125,53,256,253,6
0.015625,53,256,509,6
0.03125,53,256,1021,6
-0.03125,54,256,5,6
0.1640625,54,256,13,6
0.078125,54,256,29,6
0.1015625,54,256,61,6
0.0390625,54,256,125,6
0.0546875,54,256,253,6
-0.03125,54,256,509,6
0.046875,54,256,1021,6
0.0859375,55,256,5,6
0.03125,55,256,13,6
0.1015625,55,256,29,6
0.015625,55,256,61,6
0.0390625,55,256,125,6
-0.03125,55,256,253,6
-0.0078125,55,256,509,6
0.046875,55,256,1021,6
0.0859375,56,256,5,6
0.0390625,56,256,13,6
0.015625,56,256,29,6
0.1171875,56,256,61,6
0.0234375,56,256,125,6
0.046875,56,256,253,6
0.0625,56,256,509,6
0.1015625,56,256,1021,6
0.0078125,57,256,5,6
-0.0078125,57,256,13,6
0.0703125,57,256,29,6
0.0,57,256,61,6
0.078125,57,256,125,6
0.046875,57,256,253,6
-0.0078125,57,256,509,6
-0.0234375,57,256,1021,6
0.0390625,58,256,5,6
0.125,58,256,13,6
0.109375,58,256,29,6
0.015625,58,256,61,6
-0.015625,58,256,125,6
0.0078125,58,256,253,6
0.0703125,58,256,509,6
0.0,58,256,1021,6
0.0546875,59,256,5,6
0.0234375,59,256,13,6
0.0390625,59,256,29,6
0.03125,59,256,61,6
0.1328125,59,256,125,6
0.03125,59,256,253,6
0.03125,59,256,509,6
0.015625,59,256,1021,6
0.1875,60,256,5,6
0.1015625,60,256,13,6
0.1171875,60,256,29,6
0.046875,60,256,61,6
0.0078125,60,256,125,6
0.0234375,60,256,253,6
0.0,60,256,509,6
-0.015625,60,256,1021,6
-0.0234375,61,256,5,6
0.0078125,61,256,13,6
0.109375,61,256,29,6
0.0625,61,256,61,6
0.03125,61,256,125,6
0.0703125,61,256,253,6
0.0234375,61,256,509,6
0.0,61,256,1021,6
0.1484375,62,256,5,6
0.046875,62,256,13,6
0.0234375,62,256,29,6
0.015625,62,256,61,6
0.0390625,62,256,125,6
-0.0625,62,256,253,6
0.0,62,256,509,6
0.0,62,256,1021,6
0.1328125,63,256,5,6
0.03125,63,256,13,6
0.1796875,63,256,29,6
0.0234375,63,256,61,6
0.0859375,63,256,125,6
0.0859375,63,256,253,6
-0.015625,63,256,509,6
-0.0078125,63,256,1021,6
0.1796875,64,256,5,6
0.1015625,64,256,13,6
0.1875,64,256,29,6
0.1328125,64,256,61,6
0.203125,64,256,125,6
0.0703125,64,256,253,6
-0.0390625,64,256,509,6
-0.0078125,64,256,1021,6
0.109375,65,256,5,6
0.0625,65,256,13,6
-0.0078125,65,256,29,6
0.1484375,65,256,61,6
