sas98,idx,n_samples,n_dims_1,n_dims_2
0.015625,0,256,506,6
0.01171875,0,512,506,6
0.013671875,0,1024,506,6
0.0078125,1,256,506,6
-0.00390625,1,512,506,6
-0.021484375,1,1024,506,6
-0.0234375,2,256,506,6
0.0078125,2,512,506,6
0.005859375,2,1024,506,6
0.0234375,3,256,506,6
-0.015625,3,512,506,6
0.009765625,3,1024,506,6
-0.015625,4,256,506,6
0.015625,4,512,506,6
-0.017578125,4,1024,506,6
-0.0078125,5,256,506,6
0.0,5,512,506,6
0.01171875,5,1024,506,6
0.0234375,6,256,506,6
0.0,6,512,506,6
-0.013671875,6,1024,506,6
0.0,7,256,506,6
-0.015625,7,512,506,6
0.0078125,7,1024,506,6
-0.0078125,8,256,506,6
0.01953125,8,512,506,6
0.0078125,8,1024,506,6
-0.0078125,9,256,506,6
-0.02734375,9,512,506,6
-0.017578125,9,1024,506,6
0.0,10,256,506,6
0.0,10,512,506,6
0.015625,10,1024,506,6
-0.0078125,11,256,506,6
0.01171875,11,512,506,6
0.0078125,11,1024,506,6
-0.0234375,12,256,506,6
-0.01171875,12,512,506,6
0.0,12,1024,506,6
-0.03125,13,256,506,6
0.03515625,13,512,506,6
0.00390625,13,1024,506,6
0.078125,14,256,506,6
-0.00390625,14,512,506,6
-0.009765625,14,1024,506,6
-0.0234375,15,256,506,6
-0.00390625,15,512,506,6
0.00390625,15,1024,506,6
0.0,16,256,506,6
-0.03125,16,512,506,6
-0.001953125,16,1024,506,6
0.0078125,17,256,506,6
0.02734375,17,512,506,6
-0.01171875,17,1024,506,6
-0.046875,18,256,506,6
-0.03515625,18,512,506,6
0.01171875,18,1024,506,6
0.0234375,19,256,506,6
0.015625,19,512,506,6
-0.001953125,19,1024,506,6
0.0390625,20,256,506,6
0.02734375,20,512,506,6
-0.001953125,20,1024,506,6
-0.015625,21,256,506,6
0.0078125,21,512,506,6
0.01171875,21,1024,506,6
0.0,22,256,506,6
-0.03125,22,512,506,6
-0.009765625,22,1024,506,6
0.0,23,256,506,6
0.00390625,23,512,506,6
0.001953125,23,1024,506,6
-0.0078125,24,256,506,6
0.015625,24,512,506,6
-0.001953125,24,1024,506,6
0.0078125,25,256,506,6
-0.01953125,25,512,506,6
0.0,25,1024,506,6
-0.0546875,26,256,506,6
-0.00390625,26,512,506,6
0.001953125,26,1024,506,6
0.0390625,27,256,506,6
0.01953125,27,512,506,6
-0.05859375,27,1024,506,6
0.0,28,256,506,6
0.0078125,28,512,506,6
0.029296875,28,1024,506,6
