sas98,cmi,idx,n_samples,n_dims_1,n_dims_2
0.0,0.0,0,128,4093,6
0.0,0.0,0,256,4093,6
0.0,0.0,0,512,4093,6
0.0,0.0,0,1024,4093,6
0.0,0.0,1,128,4093,6
0.0,0.0,1,256,4093,6
0.0,0.0,1,512,4093,6
0.0,0.0,1,1024,4093,6
0.0,0.0,2,128,4093,6
0.0,0.0,2,256,4093,6
0.0,0.0,2,512,4093,6
0.0,0.0,2,1024,4093,6
0.0,0.0,3,128,4093,6
0.0,0.0,3,256,4093,6
0.0,0.0,3,512,4093,6
0.0,0.0,3,1024,4093,6
0.0,0.0,4,128,4093,6
0.0,0.0,4,256,4093,6
0.0,0.0,4,512,4093,6
0.0,0.0,4,1024,4093,6
0.0,0.0,5,128,4093,6
0.0,0.0,5,256,4093,6
0.0,0.0,5,512,4093,6
0.0,0.0,5,1024,4093,6
0.0,0.0,6,128,4093,6
0.0,0.0,6,256,4093,6
0.0,0.0,6,512,4093,6
0.0,0.0,6,1024,4093,6
0.0,0.0,7,128,4093,6
0.0,0.0,7,256,4093,6
0.0,0.0,7,512,4093,6
0.0,0.0,7,1024,4093,6
0.0,0.0,8,128,4093,6
0.0,0.0,8,256,4093,6
0.0,0.0,8,512,4093,6
0.0,0.0,8,1024,4093,6
0.0,0.0,9,128,4093,6
0.0,0.0,9,256,4093,6
0.0,0.0,9,512,4093,6
0.0,0.0,9,1024,4093,6
0.0,0.0,10,128,4093,6
0.0,0.0,10,256,4093,6
0.0,0.0,10,512,4093,6
0.0,0.0,10,1024,4093,6
0.0,0.0,11,128,4093,6
0.0,0.0,11,256,4093,6
0.0,0.0,11,512,4093,6
0.0,0.0,11,1024,4093,6
0.0,0.0,12,128,4093,6
0.0,0.0,12,256,4093,6
0.0,0.0,12,512,4093,6
0.0,0.0,12,1024,4093,6
0.0,0.0,13,128,4093,6
0.0,0.0,13,256,4093,6
0.0,0.0,13,512,4093,6
0.0,0.0,13,1024,4093,6
0.0,0.0,14,128,4093,6
0.0,0.0,14,256,4093,6
0.0,0.0,14,512,4093,6
0.0,0.0,14,1024,4093,6
0.0,0.0,15,128,4093,6
0.0,0.0,15,256,4093,6
0.0,0.0,15,512,4093,6
0.0,0.0,15,1024,4093,6
0.0,0.0,16,128,4093,6
0.0,0.0,16,256,4093,6
0.0,0.0,16,512,4093,6
0.0,0.0,16,1024,4093,6
0.0,0.0,17,128,4093,6
0.0,0.0,17,256,4093,6
0.0,0.0,17,512,4093,6
0.0,0.0,17,1024,4093,6
