sas98,idx,n_samples,n_dims_1,n_dims_2
-0.015625,0,256,506,6
0.00390625,0,512,506,6
-0.005859375,0,1024,506,6
0.03125,1,256,506,6
-0.015625,1,512,506,6
0.005859375,1,1024,506,6
-0.0078125,2,256,506,6
0.03515625,2,512,506,6
-0.017578125,2,1024,506,6
0.015625,3,256,506,6
-0.00390625,3,512,506,6
0.01953125,3,1024,506,6
-0.015625,4,256,506,6
-0.00390625,4,512,506,6
-0.005859375,4,1024,506,6
0.0,5,256,506,6
-0.01953125,5,512,506,6
-0.015625,5,1024,506,6
-0.015625,6,256,506,6
0.01171875,6,512,506,6
0.017578125,6,1024,506,6
0.0234375,7,256,506,6
0.0234375,7,512,506,6
0.017578125,7,1024,506,6
-0.0078125,8,256,506,6
-0.02734375,8,512,506,6
-0.009765625,8,1024,506,6
0.0,9,256,506,6
0.02734375,9,512,506,6
0.00390625,9,1024,506,6
0.0,10,256,506,6
-0.0234375,10,512,506,6
-0.0078125,10,1024,506,6
0.015625,11,256,506,6
0.015625,11,512,506,6
0.00390625,11,1024,506,6
-0.0078125,12,256,506,6
-0.0390625,12,512,506,6
-0.005859375,12,1024,506,6
0.0078125,13,256,506,6
0.00390625,13,512,506,6
-0.009765625,13,1024,506,6
-0.0078125,14,256,506,6
0.03515625,14,512,506,6
0.0078125,14,1024,506,6
-0.0234375,15,256,506,6
0.00390625,15,512,506,6
-0.021484375,15,1024,506,6
-0.0078125,16,256,506,6
-0.046875,16,512,506,6
0.025390625,16,1024,506,6
0.0234375,17,256,506,6
0.04296875,17,512,506,6
-0.001953125,17,1024,506,6
0.0078125,18,256,506,6
-0.015625,18,512,506,6
-0.001953125,18,1024,506,6
-0.046875,19,256,506,6
-0.01171875,19,512,506,6
-0.015625,19,1024,506,6
0.0546875,20,256,506,6
0.0,20,512,506,6
0.009765625,20,1024,506,6
-0.0234375,21,256,506,6
0.01171875,21,512,506,6
0.013671875,21,1024,506,6
-0.015625,22,256,506,6
0.01171875,22,512,506,6
-0.001953125,22,1024,506,6
0.0078125,23,256,506,6
-0.0234375,23,512,506,6
-0.00390625,23,1024,506,6
0.0234375,24,256,506,6
0.01953125,24,512,506,6
0.017578125,24,1024,506,6
-0.0078125,25,256,506,6
0.0078125,25,512,506,6
-0.01171875,25,1024,506,6
0.0078125,26,256,506,6
-0.0078125,26,512,506,6
-0.0234375,26,1024,506,6
0.0,27,256,506,6
0.00390625,27,512,506,6
0.005859375,27,1024,506,6
-0.0078125,28,256,506,6
-0.015625,28,512,506,6
0.005859375,28,1024,506,6
0.0078125,29,256,506,6
0.02734375,29,512,506,6
-0.0078125,29,1024,506,6
-0.0390625,30,256,506,6
-0.01953125,30,512,506,6
0.013671875,30,1024,506,6
0.0390625,31,256,506,6
0.01953125,31,512,506,6
0.005859375,31,1024,506,6
-0.03125,32,256,506,6
-0.015625,32,512,506,6
0.001953125,32,1024,506,6
0.03125,33,256,506,6
0.00390625,33,512,506,6
-0.001953125,33,1024,506,6
-0.0078125,34,256,506,6
-0.0234375,34,512,506,6
0.00390625,34,1024,506,6
0.0078125,35,256,506,6
-0.02734375,35,512,506,6
-0.015625,35,1024,506,6
0.0078125,36,256,506,6
0.05078125,36,512,506,6
0.001953125,36,1024,506,6
-0.046875,37,256,506,6
0.0,37,512,506,6
0.009765625,37,1024,506,6
0.0390625,38,256,506,6
-0.00390625,38,512,506,6
-0.01953125,38,1024,506,6
-0.0078125,39,256,506,6
-0.0078125,39,512,506,6
-0.00390625,39,1024,506,6
0.0078125,40,256,506,6
-0.00390625,40,512,506,6
0.0234375,40,1024,506,6
-0.0390625,41,256,506,6
-0.00390625,41,512,506,6
-0.005859375,41,1024,506,6
-0.0390625,42,256,506,6
0.0234375,42,512,506,6
0.017578125,42,1024,506,6
0.0625,43,256,506,6
0.0,43,512,506,6
-0.029296875,43,1024,506,6
-0.0078125,44,256,506,6
-0.0390625,44,512,506,6
0.017578125,44,1024,506,6
0.03125,45,256,506,6
0.03125,45,512,506,6
-0.01171875,45,1024,506,6
-0.015625,46,256,506,6
-0.00390625,46,512,506,6
0.0,46,1024,506,6
0.015625,47,256,506,6
0.00390625,47,512,506,6
0.009765625,47,1024,506,6
-0.015625,48,256,506,6
0.00390625,48,512,506,6
0.0,48,1024,506,6
0.0078125,49,256,506,6
0.00390625,49,512,506,6
-0.005859375,49,1024,506,6
-0.046875,50,256,506,6
-0.0078125,50,512,506,6
-0.013671875,50,1024,506,6
-0.0078125,51,256,506,6
0.0,51,512,506,6
0.009765625,51,1024,506,6
0.03125,52,256,506,6
-0.02734375,52,512,506,6
0.013671875,52,1024,506,6
-0.03125,53,256,506,6
-0.00390625,53,512,506,6
-0.025390625,53,1024,506,6
0.015625,54,256,506,6
0.03125,54,512,506,6
0.029296875,54,1024,506,6
0.046875,55,256,506,6
0.015625,55,512,506,6
-0.017578125,55,1024,506,6
-0.0234375,56,256,506,6
-0.03125,56,512,506,6
0.0,56,1024,506,6
0.015625,57,256,506,6
0.0234375,57,512,506,6
0.0,57,1024,506,6
0.0078125,58,256,506,6
-0.01953125,58,512,506,6
0.0078125,58,1024,506,6
-0.015625,59,256,506,6
-0.00390625,59,512,506,6
-0.009765625,59,1024,506,6
-0.046875,60,256,506,6
