n_samples,sim_type,model,metric,metric_value
128,multi_modalv3,svm,auc,0.51318359375
128,multi_modalv3,svm,auc,0.499267578125
128,multi_modalv3,svm,auc,0.613037109375
128,multi_modalv3,svm,auc,0.4453125
128,multi_modalv3,svm,auc,0.441162109375
128,multi_modalv3,svm,auc,0.51513671875
128,multi_modalv3,svm,auc,0.576171875
128,multi_modalv3,svm,auc,0.48388671875
128,multi_modalv3,svm,auc,0.608154296875
128,multi_modalv3,svm,auc,0.54443359375
128,multi_modalv3,svm,auc,0.620361328125
128,multi_modalv3,svm,auc,0.560546875
128,multi_modalv3,svm,auc,0.515625
128,multi_modalv3,svm,auc,0.53271484375
128,multi_modalv3,svm,auc,0.490478515625
128,multi_modalv3,svm,auc,0.4931640625
128,multi_modalv3,svm,auc,0.427978515625
128,multi_modalv3,svm,auc,0.39697265625
128,multi_modalv3,svm,auc,0.4384765625
128,multi_modalv3,svm,auc,0.6611328125
128,multi_modalv3,svm,auc,0.483642578125
128,multi_modalv3,svm,auc,0.522705078125
128,multi_modalv3,svm,auc,0.478515625
128,multi_modalv3,svm,auc,0.500732421875
128,multi_modalv3,svm,auc,0.481201171875
128,multi_modalv3,svm,auc,0.550537109375
128,multi_modalv3,svm,auc,0.481201171875
128,multi_modalv3,svm,auc,0.545166015625
128,multi_modalv3,svm,auc,0.55517578125
128,multi_modalv3,svm,auc,0.447021484375
128,multi_modalv3,svm,auc,0.513916015625
128,multi_modalv3,svm,auc,0.5576171875
128,multi_modalv3,svm,auc,0.466552734375
128,multi_modalv3,svm,auc,0.6240234375
128,multi_modalv3,svm,auc,0.52783203125
128,multi_modalv3,svm,auc,0.4951171875
128,multi_modalv3,svm,auc,0.472900390625
128,multi_modalv3,svm,auc,0.55322265625
128,multi_modalv3,svm,auc,0.453369140625
128,multi_modalv3,svm,auc,0.484619140625
128,multi_modalv3,svm,auc,0.544677734375
128,multi_modalv3,svm,auc,0.595703125
128,multi_modalv3,svm,auc,0.52001953125
128,multi_modalv3,svm,auc,0.580078125
128,multi_modalv3,svm,auc,0.458984375
128,multi_modalv3,svm,auc,0.471923828125
128,multi_modalv3,svm,auc,0.544677734375
128,multi_modalv3,svm,auc,0.509765625
128,multi_modalv3,svm,auc,0.63720703125
128,multi_modalv3,svm,auc,0.46337890625
128,multi_modalv3,svm,auc,0.461669921875
128,multi_modalv3,svm,auc,0.420654296875
128,multi_modalv3,svm,auc,0.59814453125
128,multi_modalv3,svm,auc,0.4853515625
128,multi_modalv3,svm,auc,0.530517578125
128,multi_modalv3,svm,auc,0.52001953125
128,multi_modalv3,svm,auc,0.522705078125
128,multi_modalv3,svm,auc,0.4755859375
128,multi_modalv3,svm,auc,0.4892578125
128,multi_modalv3,svm,auc,0.366943359375
128,multi_modalv3,svm,auc,0.491943359375
128,multi_modalv3,svm,auc,0.542724609375
128,multi_modalv3,svm,auc,0.500732421875
128,multi_modalv3,svm,auc,0.433349609375
128,multi_modalv3,svm,auc,0.502197265625
128,multi_modalv3,svm,auc,0.593017578125
128,multi_modalv3,svm,auc,0.50732421875
128,multi_modalv3,svm,auc,0.41064453125
128,multi_modalv3,svm,auc,0.52685546875
128,multi_modalv3,svm,auc,0.546142578125
128,multi_modalv3,svm,auc,0.57568359375
128,multi_modalv3,svm,auc,0.546142578125
128,multi_modalv3,svm,auc,0.4521484375
128,multi_modalv3,svm,auc,0.580810546875
128,multi_modalv3,svm,auc,0.50390625
128,multi_modalv3,svm,auc,0.558349609375
128,multi_modalv3,svm,auc,0.4677734375
128,multi_modalv3,svm,auc,0.48095703125
128,multi_modalv3,svm,auc,0.556884765625
128,multi_modalv3,svm,auc,0.433837890625
128,multi_modalv3,svm,auc,0.5634765625
128,multi_modalv3,svm,auc,0.510986328125
128,multi_modalv3,svm,auc,0.481689453125
128,multi_modalv3,svm,auc,0.493408203125
128,multi_modalv3,svm,auc,0.438720703125
128,multi_modalv3,svm,auc,0.5576171875
128,multi_modalv3,svm,auc,0.52587890625
128,multi_modalv3,svm,auc,0.481201171875
128,multi_modalv3,svm,auc,0.451171875
128,multi_modalv3,svm,auc,0.4892578125
128,multi_modalv3,svm,auc,0.47021484375
128,multi_modalv3,svm,auc,0.561279296875
128,multi_modalv3,svm,auc,0.50244140625
128,multi_modalv3,svm,auc,0.46142578125
128,multi_modalv3,svm,auc,0.482177734375
128,multi_modalv3,svm,auc,0.55126953125
128,multi_modalv3,svm,auc,0.53173828125
128,multi_modalv3,svm,auc,0.501220703125
128,multi_modalv3,svm,auc,0.54833984375
128,multi_modalv3,svm,auc,0.568115234375
256,multi_modalv3,svm,auc,0.5704345703125
256,multi_modalv3,svm,auc,0.6185302734375
256,multi_modalv3,svm,auc,0.5035400390625
256,multi_modalv3,svm,auc,0.4949951171875
256,multi_modalv3,svm,auc,0.45269775390625
256,multi_modalv3,svm,auc,0.4693603515625
256,multi_modalv3,svm,auc,0.4783935546875
256,multi_modalv3,svm,auc,0.488037109375
256,multi_modalv3,svm,auc,0.4962158203125
256,multi_modalv3,svm,auc,0.4871826171875
256,multi_modalv3,svm,auc,0.51641845703125
256,multi_modalv3,svm,auc,0.57373046875
256,multi_modalv3,svm,auc,0.6107177734375
256,multi_modalv3,svm,auc,0.47369384765625
256,multi_modalv3,svm,auc,0.47406005859375
256,multi_modalv3,svm,auc,0.477294921875
256,multi_modalv3,svm,auc,0.52203369140625
256,multi_modalv3,svm,auc,0.52685546875
256,multi_modalv3,svm,auc,0.48974609375
256,multi_modalv3,svm,auc,0.483642578125
256,multi_modalv3,svm,auc,0.5045166015625
256,multi_modalv3,svm,auc,0.4576416015625
256,multi_modalv3,svm,auc,0.4754638671875
256,multi_modalv3,svm,auc,0.5069580078125
256,multi_modalv3,svm,auc,0.54156494140625
256,multi_modalv3,svm,auc,0.52410888671875
256,multi_modalv3,svm,auc,0.546875
256,multi_modalv3,svm,auc,0.5146484375
256,multi_modalv3,svm,auc,0.48492431640625
256,multi_modalv3,svm,auc,0.55364990234375
256,multi_modalv3,svm,auc,0.47308349609375
256,multi_modalv3,svm,auc,0.48077392578125
256,multi_modalv3,svm,auc,0.4630126953125
256,multi_modalv3,svm,auc,0.490966796875
256,multi_modalv3,svm,auc,0.520263671875
256,multi_modalv3,svm,auc,0.58294677734375
256,multi_modalv3,svm,auc,0.5545654296875
256,multi_modalv3,svm,auc,0.47943115234375
256,multi_modalv3,svm,auc,0.53619384765625
256,multi_modalv3,svm,auc,0.57843017578125
256,multi_modalv3,svm,auc,0.519287109375
256,multi_modalv3,svm,auc,0.447021484375
