n_dims_1,sim_type,model,metric,metric_value
2,multi_equal,comight,auc,0.42108154296875
2,multi_equal,comight,auc,0.491607666015625
2,multi_equal,comight,auc,0.5167083740234375
2,multi_equal,comight,auc,0.5159912109375
2,multi_equal,comight,auc,0.4556121826171875
2,multi_equal,comight,auc,0.5048065185546875
2,multi_equal,comight,auc,0.49029541015625
2,multi_equal,comight,auc,0.5003662109375
2,multi_equal,comight,auc,0.478546142578125
2,multi_equal,comight,auc,0.494049072265625
2,multi_equal,comight,auc,0.542266845703125
2,multi_equal,comight,auc,0.497650146484375
2,multi_equal,comight,auc,0.4909210205078125
2,multi_equal,comight,auc,0.440673828125
2,multi_equal,comight,auc,0.535980224609375
2,multi_equal,comight,auc,0.4589691162109375
2,multi_equal,comight,auc,0.55621337890625
2,multi_equal,comight,auc,0.4719390869140625
2,multi_equal,comight,auc,0.535614013671875
2,multi_equal,comight,auc,0.433441162109375
2,multi_equal,comight,auc,0.4931488037109375
2,multi_equal,comight,auc,0.547332763671875
2,multi_equal,comight,auc,0.4893798828125
2,multi_equal,comight,auc,0.4907073974609375
2,multi_equal,comight,auc,0.55218505859375
2,multi_equal,comight,auc,0.5490264892578125
2,multi_equal,comight,auc,0.5135498046875
2,multi_equal,comight,auc,0.4659881591796875
2,multi_equal,comight,auc,0.5142822265625
2,multi_equal,comight,auc,0.4962005615234375
2,multi_equal,comight,auc,0.496856689453125
2,multi_equal,comight,auc,0.5102996826171875
2,multi_equal,comight,auc,0.516357421875
2,multi_equal,comight,auc,0.4348602294921875
2,multi_equal,comight,auc,0.5189971923828125
2,multi_equal,comight,auc,0.56048583984375
2,multi_equal,comight,auc,0.4992828369140625
2,multi_equal,comight,auc,0.531219482421875
2,multi_equal,comight,auc,0.492889404296875
2,multi_equal,comight,auc,0.5214385986328125
2,multi_equal,comight,auc,0.474853515625
2,multi_equal,comight,auc,0.487335205078125
2,multi_equal,comight,auc,0.5290985107421875
2,multi_equal,comight,auc,0.5177459716796875
2,multi_equal,comight,auc,0.4993133544921875
2,multi_equal,comight,auc,0.460174560546875
2,multi_equal,comight,auc,0.4534912109375
2,multi_equal,comight,auc,0.52178955078125
2,multi_equal,comight,auc,0.5276641845703125
2,multi_equal,comight,auc,0.5076751708984375
2,multi_equal,comight,auc,0.503509521484375
2,multi_equal,comight,auc,0.4917449951171875
2,multi_equal,comight,auc,0.45635986328125
2,multi_equal,comight,auc,0.485595703125
2,multi_equal,comight,auc,0.4795074462890625
2,multi_equal,comight,auc,0.5089263916015625
2,multi_equal,comight,auc,0.4990386962890625
2,multi_equal,comight,auc,0.42919921875
2,multi_equal,comight,auc,0.47332763671875
2,multi_equal,comight,auc,0.4788055419921875
2,multi_equal,comight,auc,0.442840576171875
2,multi_equal,comight,auc,0.47808837890625
2,multi_equal,comight,auc,0.464599609375
2,multi_equal,comight,auc,0.54974365234375
2,multi_equal,comight,auc,0.5330963134765625
2,multi_equal,comight,auc,0.5064697265625
2,multi_equal,comight,auc,0.5293426513671875
2,multi_equal,comight,auc,0.509674072265625
2,multi_equal,comight,auc,0.4621124267578125
2,multi_equal,comight,auc,0.48193359375
2,multi_equal,comight,auc,0.4676513671875
2,multi_equal,comight,auc,0.427825927734375
2,multi_equal,comight,auc,0.4580535888671875
2,multi_equal,comight,auc,0.5067138671875
2,multi_equal,comight,auc,0.46075439453125
2,multi_equal,comight,auc,0.4355926513671875
2,multi_equal,comight,auc,0.5178375244140625
2,multi_equal,comight,auc,0.4761810302734375
2,multi_equal,comight,auc,0.460113525390625
2,multi_equal,comight,auc,0.4936370849609375
2,multi_equal,comight,auc,0.4586029052734375
2,multi_equal,comight,auc,0.520599365234375
2,multi_equal,comight,auc,0.513763427734375
2,multi_equal,comight,auc,0.5096893310546875
2,multi_equal,comight,auc,0.578948974609375
2,multi_equal,comight,auc,0.5147705078125
2,multi_equal,comight,auc,0.4415435791015625
2,multi_equal,comight,auc,0.495635986328125
2,multi_equal,comight,auc,0.525604248046875
2,multi_equal,comight,auc,0.4823455810546875
2,multi_equal,comight,auc,0.5229034423828125
2,multi_equal,comight,auc,0.5681304931640625
2,multi_equal,comight,auc,0.47149658203125
2,multi_equal,comight,auc,0.528350830078125
2,multi_equal,comight,auc,0.5449981689453125
2,multi_equal,comight,auc,0.4959564208984375
2,multi_equal,comight,auc,0.49859619140625
2,multi_equal,comight,auc,0.4960174560546875
2,multi_equal,comight,auc,0.51824951171875
2,multi_equal,comight,auc,0.4701690673828125
10,multi_equal,comight,auc,0.484344482421875
10,multi_equal,comight,auc,0.4636077880859375
10,multi_equal,comight,auc,0.5189666748046875
10,multi_equal,comight,auc,0.5085601806640625
10,multi_equal,comight,auc,0.472686767578125
10,multi_equal,comight,auc,0.438720703125
10,multi_equal,comight,auc,0.4715423583984375
10,multi_equal,comight,auc,0.4987945556640625
10,multi_equal,comight,auc,0.422576904296875
10,multi_equal,comight,auc,0.4670257568359375
10,multi_equal,comight,auc,0.528106689453125
10,multi_equal,comight,auc,0.4384307861328125
10,multi_equal,comight,auc,0.5243072509765625
10,multi_equal,comight,auc,0.46917724609375
10,multi_equal,comight,auc,0.555908203125
10,multi_equal,comight,auc,0.4638519287109375
10,multi_equal,comight,auc,0.5418548583984375
10,multi_equal,comight,auc,0.4784088134765625
10,multi_equal,comight,auc,0.52728271484375
10,multi_equal,comight,auc,0.407257080078125
10,multi_equal,comight,auc,0.4910125732421875
10,multi_equal,comight,auc,0.5619354248046875
10,multi_equal,comight,auc,0.506561279296875
10,multi_equal,comight,auc,0.4977569580078125
10,multi_equal,comight,auc,0.5616912841796875
10,multi_equal,comight,auc,0.5420379638671875
10,multi_equal,comight,auc,0.5191650390625
10,multi_equal,comight,auc,0.477020263671875
10,multi_equal,comight,auc,0.527984619140625
10,multi_equal,comight,auc,0.4464111328125
10,multi_equal,comight,auc,0.49285888671875
10,multi_equal,comight,auc,0.5135498046875
10,multi_equal,comight,auc,0.471527099609375
10,multi_equal,comight,auc,0.423614501953125
10,multi_equal,comight,auc,0.4960174560546875
10,multi_equal,comight,auc,0.52215576171875
10,multi_equal,comight,auc,0.4959716796875
10,multi_equal,comight,auc,0.4963226318359375
10,multi_equal,comight,auc,0.4705657958984375
10,multi_equal,comight,auc,0.521514892578125
10,multi_equal,comight,auc,0.50335693359375
10,multi_equal,comight,auc,0.505859375
10,multi_equal,comight,auc,0.558380126953125
10,multi_equal,comight,auc,0.4945831298828125
10,multi_equal,comight,auc,0.492584228515625
10,multi_equal,comight,auc,0.4464263916015625
10,multi_equal,comight,auc,0.4751739501953125
10,multi_equal,comight,auc,0.517974853515625
10,multi_equal,comight,auc,0.5043487548828125
10,multi_equal,comight,auc,0.516632080078125
10,multi_equal,comight,auc,0.5410614013671875
10,multi_equal,comight,auc,0.46685791015625
10,multi_equal,comight,auc,0.480804443359375
10,multi_equal,comight,auc,0.44482421875
10,multi_equal,comight,auc,0.5057220458984375
10,multi_equal,comight,auc,0.4806365966796875
10,multi_equal,comight,auc,0.540985107421875
10,multi_equal,comight,auc,0.4127960205078125
10,multi_equal,comight,auc,0.41571044921875
10,multi_equal,comight,auc,0.5008392333984375
10,multi_equal,comight,auc,0.5157318115234375
10,multi_equal,comight,auc,0.519439697265625
10,multi_equal,comight,auc,0.46038818359375
10,multi_equal,comight,auc,0.5277252197265625
10,multi_equal,comight,auc,0.5194854736328125
10,multi_equal,comight,auc,0.5146942138671875
10,multi_equal,comight,auc,0.4901885986328125
10,multi_equal,comight,auc,0.559295654296875
10,multi_equal,comight,auc,0.4727630615234375
10,multi_equal,comight,auc,0.5282440185546875
10,multi_equal,comight,auc,0.4825286865234375
10,multi_equal,comight,auc,0.5427398681640625
10,multi_equal,comight,auc,0.412078857421875
10,multi_equal,comight,auc,0.4474639892578125
10,multi_equal,comight,auc,0.494384765625
10,multi_equal,comight,auc,0.4696807861328125
10,multi_equal,comight,auc,0.514678955078125
10,multi_equal,comight,auc,0.4891815185546875
10,multi_equal,comight,auc,0.4557952880859375
10,multi_equal,comight,auc,0.4942474365234375
10,multi_equal,comight,auc,0.449371337890625
10,multi_equal,comight,auc,0.5101318359375
10,multi_equal,comight,auc,0.458526611328125
10,multi_equal,comight,auc,0.495025634765625
10,multi_equal,comight,auc,0.5565032958984375
10,multi_equal,comight,auc,0.500030517578125
10,multi_equal,comight,auc,0.405059814453125
10,multi_equal,comight,auc,0.4787445068359375
10,multi_equal,comight,auc,0.54339599609375
10,multi_equal,comight,auc,0.456329345703125
10,multi_equal,comight,auc,0.447662353515625
10,multi_equal,comight,auc,0.516937255859375
10,multi_equal,comight,auc,0.4603271484375
10,multi_equal,comight,auc,0.552490234375
10,multi_equal,comight,auc,0.4828338623046875
10,multi_equal,comight,auc,0.4625701904296875
10,multi_equal,comight,auc,0.499053955078125
10,multi_equal,comight,auc,0.5436859130859375
10,multi_equal,comight,auc,0.497711181640625
10,multi_equal,comight,auc,0.4598388671875
26,multi_equal,comight,auc,0.4915771484375
26,multi_equal,comight,auc,0.4608001708984375
26,multi_equal,comight,auc,0.4854278564453125
26,multi_equal,comight,auc,0.478363037109375
26,multi_equal,comight,auc,0.4823150634765625
26,multi_equal,comight,auc,0.56463623046875
26,multi_equal,comight,auc,0.4190826416015625
26,multi_equal,comight,auc,0.493194580078125
26,multi_equal,comight,auc,0.4297943115234375
26,multi_equal,comight,auc,0.427215576171875
26,multi_equal,comight,auc,0.4867706298828125
26,multi_equal,comight,auc,0.49322509765625
26,multi_equal,comight,auc,0.5364837646484375
26,multi_equal,comight,auc,0.4832763671875
26,multi_equal,comight,auc,0.552947998046875
26,multi_equal,comight,auc,0.522125244140625
26,multi_equal,comight,auc,0.5171356201171875
26,multi_equal,comight,auc,0.4867095947265625
26,multi_equal,comight,auc,0.5085601806640625
26,multi_equal,comight,auc,0.4238128662109375
26,multi_equal,comight,auc,0.4658660888671875
26,multi_equal,comight,auc,0.556640625
26,multi_equal,comight,auc,0.4948577880859375
26,multi_equal,comight,auc,0.512969970703125
26,multi_equal,comight,auc,0.54205322265625
26,multi_equal,comight,auc,0.499267578125
26,multi_equal,comight,auc,0.4993896484375
26,multi_equal,comight,auc,0.4652099609375
26,multi_equal,comight,auc,0.5839080810546875
26,multi_equal,comight,auc,0.4325408935546875
26,multi_equal,comight,auc,0.456878662109375
26,multi_equal,comight,auc,0.50128173828125
26,multi_equal,comight,auc,0.485565185546875
26,multi_equal,comight,auc,0.4573974609375
26,multi_equal,comight,auc,0.4994964599609375
26,multi_equal,comight,auc,0.49432373046875
26,multi_equal,comight,auc,0.4970703125
26,multi_equal,comight,auc,0.5029754638671875
26,multi_equal,comight,auc,0.49481201171875
26,multi_equal,comight,auc,0.4959716796875
26,multi_equal,comight,auc,0.4501495361328125
26,multi_equal,comight,auc,0.551300048828125
26,multi_equal,comight,auc,0.518463134765625
26,multi_equal,comight,auc,0.4266815185546875
26,multi_equal,comight,auc,0.4907989501953125
26,multi_equal,comight,auc,0.4561614990234375
26,multi_equal,comight,auc,0.490142822265625
26,multi_equal,comight,auc,0.489105224609375
26,multi_equal,comight,auc,0.5394134521484375
26,multi_equal,comight,auc,0.5162200927734375
26,multi_equal,comight,auc,0.5254364013671875
26,multi_equal,comight,auc,0.4680328369140625
26,multi_equal,comight,auc,0.4782257080078125
26,multi_equal,comight,auc,0.495697021484375
26,multi_equal,comight,auc,0.4357757568359375
26,multi_equal,comight,auc,0.500213623046875
26,multi_equal,comight,auc,0.5355987548828125
26,multi_equal,comight,auc,0.4740447998046875
26,multi_equal,comight,auc,0.427398681640625
26,multi_equal,comight,auc,0.4826812744140625
26,multi_equal,comight,auc,0.4779052734375
26,multi_equal,comight,auc,0.451141357421875
26,multi_equal,comight,auc,0.483184814453125
26,multi_equal,comight,auc,0.5136871337890625
26,multi_equal,comight,auc,0.546173095703125
26,multi_equal,comight,auc,0.516326904296875
26,multi_equal,comight,auc,0.415985107421875
26,multi_equal,comight,auc,0.5340576171875
26,multi_equal,comight,auc,0.4792022705078125
26,multi_equal,comight,auc,0.5213623046875
26,multi_equal,comight,auc,0.4922332763671875
26,multi_equal,comight,auc,0.552642822265625
26,multi_equal,comight,auc,0.4080352783203125
26,multi_equal,comight,auc,0.4901275634765625
26,multi_equal,comight,auc,0.4949188232421875
26,multi_equal,comight,auc,0.4087066650390625
26,multi_equal,comight,auc,0.5579376220703125
26,multi_equal,comight,auc,0.4504852294921875
26,multi_equal,comight,auc,0.515289306640625
26,multi_equal,comight,auc,0.473388671875
26,multi_equal,comight,auc,0.4622650146484375
26,multi_equal,comight,auc,0.488189697265625
26,multi_equal,comight,auc,0.5174560546875
26,multi_equal,comight,auc,0.47979736328125
26,multi_equal,comight,auc,0.5226898193359375
26,multi_equal,comight,auc,0.516265869140625
26,multi_equal,comight,auc,0.42388916015625
26,multi_equal,comight,auc,0.5041351318359375
26,multi_equal,comight,auc,0.562652587890625
26,multi_equal,comight,auc,0.479522705078125
26,multi_equal,comight,auc,0.4800262451171875
26,multi_equal,comight,auc,0.5557861328125
26,multi_equal,comight,auc,0.44989013671875
26,multi_equal,comight,auc,0.45721435546875
26,multi_equal,comight,auc,0.4529266357421875
26,multi_equal,comight,auc,0.4501953125
26,multi_equal,comight,auc,0.4846038818359375
26,multi_equal,comight,auc,0.5250396728515625
26,multi_equal,comight,auc,0.4822998046875
26,multi_equal,comight,auc,0.4315338134765625
58,multi_equal,comight,auc,0.5360107421875
58,multi_equal,comight,auc,0.5080108642578125
58,multi_equal,comight,auc,0.4618682861328125
58,multi_equal,comight,auc,0.4556884765625
58,multi_equal,comight,auc,0.4899139404296875
58,multi_equal,comight,auc,0.535369873046875
58,multi_equal,comight,auc,0.484588623046875
58,multi_equal,comight,auc,0.529541015625
58,multi_equal,comight,auc,0.509002685546875
58,multi_equal,comight,auc,0.480133056640625
58,multi_equal,comight,auc,0.52862548828125
58,multi_equal,comight,auc,0.4983062744140625
58,multi_equal,comight,auc,0.502471923828125
58,multi_equal,comight,auc,0.470733642578125
58,multi_equal,comight,auc,0.54071044921875
58,multi_equal,comight,auc,0.5084075927734375
58,multi_equal,comight,auc,0.4959564208984375
58,multi_equal,comight,auc,0.5460357666015625
58,multi_equal,comight,auc,0.523895263671875
58,multi_equal,comight,auc,0.4384918212890625
58,multi_equal,comight,auc,0.5367889404296875
58,multi_equal,comight,auc,0.5239715576171875
58,multi_equal,comight,auc,0.4542999267578125
58,multi_equal,comight,auc,0.4962921142578125
58,multi_equal,comight,auc,0.4610595703125
58,multi_equal,comight,auc,0.5170135498046875
58,multi_equal,comight,auc,0.5264434814453125
58,multi_equal,comight,auc,0.5003662109375
58,multi_equal,comight,auc,0.58697509765625
58,multi_equal,comight,auc,0.4709014892578125
58,multi_equal,comight,auc,0.550689697265625
58,multi_equal,comight,auc,0.4778289794921875
58,multi_equal,comight,auc,0.4737701416015625
58,multi_equal,comight,auc,0.4698333740234375
58,multi_equal,comight,auc,0.5102081298828125
58,multi_equal,comight,auc,0.49267578125
58,multi_equal,comight,auc,0.449127197265625
58,multi_equal,comight,auc,0.5048065185546875
58,multi_equal,comight,auc,0.44073486328125
58,multi_equal,comight,auc,0.4786224365234375
58,multi_equal,comight,auc,0.485992431640625
58,multi_equal,comight,auc,0.5031280517578125
58,multi_equal,comight,auc,0.49310302734375
58,multi_equal,comight,auc,0.404083251953125
58,multi_equal,comight,auc,0.519683837890625
58,multi_equal,comight,auc,0.4560546875
58,multi_equal,comight,auc,0.484405517578125
58,multi_equal,comight,auc,0.477386474609375
58,multi_equal,comight,auc,0.4898834228515625
58,multi_equal,comight,auc,0.5186767578125
58,multi_equal,comight,auc,0.498931884765625
58,multi_equal,comight,auc,0.475494384765625
58,multi_equal,comight,auc,0.4292755126953125
58,multi_equal,comight,auc,0.4842376708984375
58,multi_equal,comight,auc,0.481353759765625
58,multi_equal,comight,auc,0.486328125
58,multi_equal,comight,auc,0.519500732421875
58,multi_equal,comight,auc,0.4540252685546875
58,multi_equal,comight,auc,0.399566650390625
58,multi_equal,comight,auc,0.4609222412109375
58,multi_equal,comight,auc,0.4734344482421875
58,multi_equal,comight,auc,0.5011138916015625
58,multi_equal,comight,auc,0.4840087890625
58,multi_equal,comight,auc,0.5045623779296875
58,multi_equal,comight,auc,0.5340118408203125
58,multi_equal,comight,auc,0.52874755859375
58,multi_equal,comight,auc,0.466766357421875
58,multi_equal,comight,auc,0.5296630859375
58,multi_equal,comight,auc,0.5015106201171875
58,multi_equal,comight,auc,0.540679931640625
58,multi_equal,comight,auc,0.5047607421875
58,multi_equal,comight,auc,0.5042724609375
58,multi_equal,comight,auc,0.4203948974609375
58,multi_equal,comight,auc,0.5027313232421875
58,multi_equal,comight,auc,0.4816131591796875
58,multi_equal,comight,auc,0.47259521484375
58,multi_equal,comight,auc,0.5467529296875
58,multi_equal,comight,auc,0.49029541015625
