sas98,idx,n_samples,n_dims_1,n_dims_2
0.03515625,0,512,2,6
0.0,0,512,10,6
-0.01171875,0,512,26,6
-0.03515625,0,512,58,6
-0.0390625,0,512,122,6
-0.05078125,0,512,250,6
-0.01953125,0,512,506,6
-0.0234375,0,512,1018,6
0.0234375,1,512,2,6
-0.046875,1,512,10,6
0.01171875,1,512,26,6
0.0390625,1,512,58,6
0.02734375,1,512,122,6
0.03515625,1,512,250,6
0.046875,1,512,506,6
0.0078125,1,512,1018,6
0.015625,2,512,2,6
0.0390625,2,512,10,6
-0.0078125,2,512,26,6
-0.03125,2,512,58,6
-0.00390625,2,512,122,6
-0.01171875,2,512,250,6
-0.04296875,2,512,506,6
-0.0625,2,512,1018,6
-0.01953125,3,512,2,6
-0.0546875,3,512,10,6
0.0,3,512,26,6
0.01171875,3,512,58,6
0.0,3,512,122,6
0.0234375,3,512,250,6
0.0234375,3,512,506,6
0.0703125,3,512,1018,6
-0.00390625,4,512,2,6
-0.01953125,4,512,10,6
0.0234375,4,512,26,6
0.02734375,4,512,58,6
-0.0234375,4,512,122,6
0.00390625,4,512,250,6
-0.0234375,4,512,506,6
-0.0078125,4,512,1018,6
-0.01953125,5,512,2,6
0.0546875,5,512,10,6
-0.03125,5,512,26,6
-0.046875,5,512,58,6
0.03515625,5,512,122,6
-0.015625,5,512,250,6
0.0078125,5,512,506,6
0.01171875,5,512,1018,6
0.015625,6,512,2,6
0.01171875,6,512,10,6
0.02734375,6,512,26,6
0.04296875,6,512,58,6
-0.02734375,6,512,122,6
0.01171875,6,512,250,6
0.0,6,512,506,6
-0.07421875,6,512,1018,6
0.01171875,7,512,2,6
0.01953125,7,512,10,6
-0.015625,7,512,26,6
-0.05078125,7,512,58,6
0.03515625,7,512,122,6
0.00390625,7,512,250,6
-0.03125,7,512,506,6
0.04296875,7,512,1018,6
-0.01171875,8,512,2,6
-0.03125,8,512,10,6
0.03125,8,512,26,6
0.0078125,8,512,58,6
-0.00390625,8,512,122,6
-0.0234375,8,512,250,6
0.05078125,8,512,506,6
0.0,8,512,1018,6
-0.01171875,9,512,2,6
0.03125,9,512,10,6
-0.0390625,9,512,26,6
0.0234375,9,512,58,6
-0.0078125,9,512,122,6
0.015625,9,512,250,6
-0.0390625,9,512,506,6
0.01953125,9,512,1018,6
0.0234375,10,512,2,6
-0.01953125,10,512,10,6
-0.00390625,10,512,26,6
0.00390625,10,512,58,6
-0.03125,10,512,122,6
-0.0234375,10,512,250,6
0.0234375,10,512,506,6
0.00390625,10,512,1018,6
-0.01953125,11,512,2,6
0.0078125,11,512,10,6
-0.02734375,11,512,26,6
-0.0234375,11,512,58,6
-0.00390625,11,512,122,6
0.01171875,11,512,250,6
0.01171875,11,512,506,6
0.01171875,11,512,1018,6
0.00390625,12,512,2,6
-0.00390625,12,512,10,6
0.05078125,12,512,26,6
-0.015625,12,512,58,6
0.0390625,12,512,122,6
0.01171875,12,512,250,6
-0.01953125,12,512,506,6
-0.0390625,12,512,1018,6
0.01171875,13,512,2,6
-0.01953125,13,512,10,6
-0.0546875,13,512,26,6
0.06640625,13,512,58,6
-0.04296875,13,512,122,6
-0.015625,13,512,250,6
-0.0078125,13,512,506,6
0.00390625,13,512,1018,6
-0.0078125,14,512,2,6
0.01171875,14,512,10,6
0.04296875,14,512,26,6
0.00390625,14,512,58,6
0.02734375,14,512,122,6
0.0,14,512,250,6
0.01953125,14,512,506,6
0.01171875,14,512,1018,6
-0.02734375,15,512,2,6
0.0,15,512,10,6
0.01171875,15,512,26,6
-0.02734375,15,512,58,6
0.01171875,15,512,122,6
-0.01171875,15,512,250,6
-0.01953125,15,512,506,6
-0.01953125,15,512,1018,6
0.03125,16,512,2,6
