n_samples,sim_type,model,metric,metric_value
256,mean_shiftv4,comight,auc,0.67852783203125
256,mean_shiftv4,comight,auc,0.779541015625
256,mean_shiftv4,comight,auc,0.67510986328125
256,mean_shiftv4,comight,auc,0.71075439453125
256,mean_shiftv4,comight,auc,0.65521240234375
256,mean_shiftv4,comight,auc,0.77020263671875
256,mean_shiftv4,comight,auc,0.63909912109375
256,mean_shiftv4,comight,auc,0.80853271484375
256,mean_shiftv4,comight,auc,0.715576171875
256,mean_shiftv4,comight,auc,0.76702880859375
256,mean_shiftv4,comight,auc,0.78948974609375
256,mean_shiftv4,comight,auc,0.70819091796875
256,mean_shiftv4,comight,auc,0.73052978515625
256,mean_shiftv4,comight,auc,0.68328857421875
256,mean_shiftv4,comight,auc,0.72064208984375
256,mean_shiftv4,comight,auc,0.69219970703125
256,mean_shiftv4,comight,auc,0.71612548828125
256,mean_shiftv4,comight,auc,0.651611328125
256,mean_shiftv4,comight,auc,0.69598388671875
256,mean_shiftv4,comight,auc,0.73077392578125
256,mean_shiftv4,comight,auc,0.759033203125
256,mean_shiftv4,comight,auc,0.7237548828125
256,mean_shiftv4,comight,auc,0.69586181640625
256,mean_shiftv4,comight,auc,0.67486572265625
256,mean_shiftv4,comight,auc,0.748046875
256,mean_shiftv4,comight,auc,0.70697021484375
256,mean_shiftv4,comight,auc,0.6478271484375
256,mean_shiftv4,comight,auc,0.70916748046875
256,mean_shiftv4,comight,auc,0.69140625
256,mean_shiftv4,comight,auc,0.71612548828125
256,mean_shiftv4,comight,auc,0.73968505859375
256,mean_shiftv4,comight,auc,0.7301025390625
256,mean_shiftv4,comight,auc,0.6959228515625
256,mean_shiftv4,comight,auc,0.64111328125
256,mean_shiftv4,comight,auc,0.76031494140625
256,mean_shiftv4,comight,auc,0.66107177734375
256,mean_shiftv4,comight,auc,0.73187255859375
256,mean_shiftv4,comight,auc,0.73040771484375
256,mean_shiftv4,comight,auc,0.70220947265625
256,mean_shiftv4,comight,auc,0.71881103515625
256,mean_shiftv4,comight,auc,0.674072265625
256,mean_shiftv4,comight,auc,0.732666015625
256,mean_shiftv4,comight,auc,0.73492431640625
256,mean_shiftv4,comight,auc,0.7550048828125
256,mean_shiftv4,comight,auc,0.62030029296875
256,mean_shiftv4,comight,auc,0.7735595703125
256,mean_shiftv4,comight,auc,0.702880859375
256,mean_shiftv4,comight,auc,0.73236083984375
256,mean_shiftv4,comight,auc,0.73291015625
256,mean_shiftv4,comight,auc,0.683837890625
256,mean_shiftv4,comight,auc,0.6614990234375
256,mean_shiftv4,comight,auc,0.71600341796875
256,mean_shiftv4,comight,auc,0.67681884765625
256,mean_shiftv4,comight,auc,0.7252197265625
256,mean_shiftv4,comight,auc,0.6640625
256,mean_shiftv4,comight,auc,0.6610107421875
256,mean_shiftv4,comight,auc,0.69439697265625
256,mean_shiftv4,comight,auc,0.7596435546875
256,mean_shiftv4,comight,auc,0.7537841796875
256,mean_shiftv4,comight,auc,0.6922607421875
256,mean_shiftv4,comight,auc,0.63323974609375
256,mean_shiftv4,comight,auc,0.75836181640625
256,mean_shiftv4,comight,auc,0.718994140625
256,mean_shiftv4,comight,auc,0.73834228515625
256,mean_shiftv4,comight,auc,0.7227783203125
256,mean_shiftv4,comight,auc,0.64385986328125
256,mean_shiftv4,comight,auc,0.71514892578125
256,mean_shiftv4,comight,auc,0.7193603515625
256,mean_shiftv4,comight,auc,0.72259521484375
256,mean_shiftv4,comight,auc,0.67755126953125
256,mean_shiftv4,comight,auc,0.6824951171875
256,mean_shiftv4,comight,auc,0.71820068359375
256,mean_shiftv4,comight,auc,0.75048828125
256,mean_shiftv4,comight,auc,0.6900634765625
256,mean_shiftv4,comight,auc,0.68365478515625
256,mean_shiftv4,comight,auc,0.74737548828125
256,mean_shiftv4,comight,auc,0.73431396484375
256,mean_shiftv4,comight,auc,0.7322998046875
256,mean_shiftv4,comight,auc,0.62750244140625
256,mean_shiftv4,comight,auc,0.718505859375
256,mean_shiftv4,comight,auc,0.70025634765625
256,mean_shiftv4,comight,auc,0.6907958984375
256,mean_shiftv4,comight,auc,0.72369384765625
256,mean_shiftv4,comight,auc,0.72125244140625
256,mean_shiftv4,comight,auc,0.74591064453125
256,mean_shiftv4,comight,auc,0.646728515625
256,mean_shiftv4,comight,auc,0.75823974609375
256,mean_shiftv4,comight,auc,0.74652099609375
256,mean_shiftv4,comight,auc,0.6807861328125
256,mean_shiftv4,comight,auc,0.694091796875
256,mean_shiftv4,comight,auc,0.6953125
256,mean_shiftv4,comight,auc,0.65850830078125
256,mean_shiftv4,comight,auc,0.673828125
256,mean_shiftv4,comight,auc,0.74761962890625
256,mean_shiftv4,comight,auc,0.7109375
256,mean_shiftv4,comight,auc,0.74505615234375
256,mean_shiftv4,comight,auc,0.724853515625
256,mean_shiftv4,comight,auc,0.67230224609375
256,mean_shiftv4,comight,auc,0.65960693359375
256,mean_shiftv4,comight,auc,0.69561767578125
512,mean_shiftv4,comight,auc,0.7302093505859375
512,mean_shiftv4,comight,auc,0.7690582275390625
512,mean_shiftv4,comight,auc,0.7470550537109375
512,mean_shiftv4,comight,auc,0.716766357421875
512,mean_shiftv4,comight,auc,0.7118377685546875
512,mean_shiftv4,comight,auc,0.7523345947265625
512,mean_shiftv4,comight,auc,0.7160186767578125
512,mean_shiftv4,comight,auc,0.802001953125
512,mean_shiftv4,comight,auc,0.7658538818359375
512,mean_shiftv4,comight,auc,0.7513885498046875
512,mean_shiftv4,comight,auc,0.7921905517578125
512,mean_shiftv4,comight,auc,0.706573486328125
512,mean_shiftv4,comight,auc,0.72503662109375
512,mean_shiftv4,comight,auc,0.7224578857421875
512,mean_shiftv4,comight,auc,0.6765594482421875
512,mean_shiftv4,comight,auc,0.73065185546875
512,mean_shiftv4,comight,auc,0.784393310546875
512,mean_shiftv4,comight,auc,0.7267913818359375
512,mean_shiftv4,comight,auc,0.7139739990234375
512,mean_shiftv4,comight,auc,0.7526397705078125
512,mean_shiftv4,comight,auc,0.76861572265625
512,mean_shiftv4,comight,auc,0.7216033935546875
512,mean_shiftv4,comight,auc,0.7076416015625
512,mean_shiftv4,comight,auc,0.7190093994140625
512,mean_shiftv4,comight,auc,0.7499847412109375
512,mean_shiftv4,comight,auc,0.7583770751953125
512,mean_shiftv4,comight,auc,0.7269439697265625
512,mean_shiftv4,comight,auc,0.7388763427734375
512,mean_shiftv4,comight,auc,0.7325286865234375
512,mean_shiftv4,comight,auc,0.7154083251953125
512,mean_shiftv4,comight,auc,0.7105865478515625
512,mean_shiftv4,comight,auc,0.727325439453125
512,mean_shiftv4,comight,auc,0.708892822265625
512,mean_shiftv4,comight,auc,0.6904296875
512,mean_shiftv4,comight,auc,0.7503814697265625
512,mean_shiftv4,comight,auc,0.7011871337890625
512,mean_shiftv4,comight,auc,0.751556396484375
512,mean_shiftv4,comight,auc,0.74609375
512,mean_shiftv4,comight,auc,0.7345733642578125
512,mean_shiftv4,comight,auc,0.743072509765625
512,mean_shiftv4,comight,auc,0.7434844970703125
512,mean_shiftv4,comight,auc,0.7459716796875
512,mean_shiftv4,comight,auc,0.7321929931640625
512,mean_shiftv4,comight,auc,0.754974365234375
512,mean_shiftv4,comight,auc,0.6824951171875
512,mean_shiftv4,comight,auc,0.7634124755859375
512,mean_shiftv4,comight,auc,0.7548980712890625
512,mean_shiftv4,comight,auc,0.733856201171875
512,mean_shiftv4,comight,auc,0.739105224609375
512,mean_shiftv4,comight,auc,0.71063232421875
