n_samples,sim_type,model,metric,metric_value
256,multi_equal,comight,auc,0.44378662109375
256,multi_equal,comight,auc,0.52117919921875
256,multi_equal,comight,auc,0.474365234375
256,multi_equal,comight,auc,0.3240966796875
256,multi_equal,comight,auc,0.40301513671875
256,multi_equal,comight,auc,0.46038818359375
256,multi_equal,comight,auc,0.5203857421875
256,multi_equal,comight,auc,0.52130126953125
256,multi_equal,comight,auc,0.5382080078125
256,multi_equal,comight,auc,0.489990234375
256,multi_equal,comight,auc,0.48992919921875
256,multi_equal,comight,auc,0.56024169921875
256,multi_equal,comight,auc,0.470947265625
256,multi_equal,comight,auc,0.45037841796875
256,multi_equal,comight,auc,0.4697265625
256,multi_equal,comight,auc,0.46771240234375
256,multi_equal,comight,auc,0.5384521484375
256,multi_equal,comight,auc,0.46832275390625
256,multi_equal,comight,auc,0.42498779296875
256,multi_equal,comight,auc,0.4029541015625
256,multi_equal,comight,auc,0.507568359375
256,multi_equal,comight,auc,0.46759033203125
256,multi_equal,comight,auc,0.4854736328125
256,multi_equal,comight,auc,0.44842529296875
256,multi_equal,comight,auc,0.5181884765625
256,multi_equal,comight,auc,0.53094482421875
256,multi_equal,comight,auc,0.50726318359375
256,multi_equal,comight,auc,0.50701904296875
256,multi_equal,comight,auc,0.511474609375
256,multi_equal,comight,auc,0.4356689453125
256,multi_equal,comight,auc,0.49859619140625
256,multi_equal,comight,auc,0.6165771484375
256,multi_equal,comight,auc,0.5479736328125
256,multi_equal,comight,auc,0.48992919921875
256,multi_equal,comight,auc,0.50848388671875
256,multi_equal,comight,auc,0.46014404296875
256,multi_equal,comight,auc,0.55255126953125
256,multi_equal,comight,auc,0.41534423828125
256,multi_equal,comight,auc,0.43353271484375
256,multi_equal,comight,auc,0.455810546875
256,multi_equal,comight,auc,0.5030517578125
256,multi_equal,comight,auc,0.5404052734375
256,multi_equal,comight,auc,0.50628662109375
256,multi_equal,comight,auc,0.53887939453125
256,multi_equal,comight,auc,0.47296142578125
256,multi_equal,comight,auc,0.4366455078125
256,multi_equal,comight,auc,0.42474365234375
256,multi_equal,comight,auc,0.50018310546875
256,multi_equal,comight,auc,0.59375
256,multi_equal,comight,auc,0.4425048828125
256,multi_equal,comight,auc,0.51202392578125
256,multi_equal,comight,auc,0.46563720703125
256,multi_equal,comight,auc,0.5543212890625
256,multi_equal,comight,auc,0.425537109375
256,multi_equal,comight,auc,0.51800537109375
256,multi_equal,comight,auc,0.43353271484375
256,multi_equal,comight,auc,0.45953369140625
256,multi_equal,comight,auc,0.43408203125
256,multi_equal,comight,auc,0.39044189453125
256,multi_equal,comight,auc,0.3558349609375
256,multi_equal,comight,auc,0.41668701171875
256,multi_equal,comight,auc,0.40423583984375
256,multi_equal,comight,auc,0.5439453125
256,multi_equal,comight,auc,0.49188232421875
256,multi_equal,comight,auc,0.6141357421875
256,multi_equal,comight,auc,0.46240234375
256,multi_equal,comight,auc,0.59228515625
256,multi_equal,comight,auc,0.50811767578125
256,multi_equal,comight,auc,0.52349853515625
256,multi_equal,comight,auc,0.4549560546875
256,multi_equal,comight,auc,0.4931640625
256,multi_equal,comight,auc,0.5330810546875
256,multi_equal,comight,auc,0.51519775390625
256,multi_equal,comight,auc,0.5257568359375
256,multi_equal,comight,auc,0.49932861328125
256,multi_equal,comight,auc,0.431640625
256,multi_equal,comight,auc,0.55126953125
256,multi_equal,comight,auc,0.52606201171875
256,multi_equal,comight,auc,0.50701904296875
256,multi_equal,comight,auc,0.4117431640625
256,multi_equal,comight,auc,0.4659423828125
256,multi_equal,comight,auc,0.45281982421875
256,multi_equal,comight,auc,0.4500732421875
256,multi_equal,comight,auc,0.43572998046875
256,multi_equal,comight,auc,0.48486328125
256,multi_equal,comight,auc,0.5048828125
256,multi_equal,comight,auc,0.4564208984375
256,multi_equal,comight,auc,0.48712158203125
256,multi_equal,comight,auc,0.4718017578125
256,multi_equal,comight,auc,0.50604248046875
256,multi_equal,comight,auc,0.47265625
256,multi_equal,comight,auc,0.55963134765625
256,multi_equal,comight,auc,0.4466552734375
256,multi_equal,comight,auc,0.514404296875
256,multi_equal,comight,auc,0.490234375
256,multi_equal,comight,auc,0.564208984375
256,multi_equal,comight,auc,0.4393310546875
256,multi_equal,comight,auc,0.41156005859375
256,multi_equal,comight,auc,0.5107421875
256,multi_equal,comight,auc,0.3310546875
512,multi_equal,comight,auc,0.5445404052734375
512,multi_equal,comight,auc,0.544464111328125
512,multi_equal,comight,auc,0.490478515625
512,multi_equal,comight,auc,0.4846954345703125
512,multi_equal,comight,auc,0.406768798828125
512,multi_equal,comight,auc,0.4972381591796875
512,multi_equal,comight,auc,0.472930908203125
512,multi_equal,comight,auc,0.5415191650390625
512,multi_equal,comight,auc,0.4814453125
512,multi_equal,comight,auc,0.44549560546875
512,multi_equal,comight,auc,0.4689788818359375
512,multi_equal,comight,auc,0.49810791015625
512,multi_equal,comight,auc,0.4865570068359375
512,multi_equal,comight,auc,0.4838409423828125
512,multi_equal,comight,auc,0.5252685546875
512,multi_equal,comight,auc,0.458709716796875
512,multi_equal,comight,auc,0.521820068359375
512,multi_equal,comight,auc,0.4471588134765625
512,multi_equal,comight,auc,0.4495391845703125
512,multi_equal,comight,auc,0.48297119140625
512,multi_equal,comight,auc,0.474945068359375
512,multi_equal,comight,auc,0.5294036865234375
512,multi_equal,comight,auc,0.43853759765625
512,multi_equal,comight,auc,0.5426788330078125
512,multi_equal,comight,auc,0.4765472412109375
512,multi_equal,comight,auc,0.56829833984375
512,multi_equal,comight,auc,0.4532012939453125
512,multi_equal,comight,auc,0.424713134765625
512,multi_equal,comight,auc,0.5435791015625
512,multi_equal,comight,auc,0.476165771484375
512,multi_equal,comight,auc,0.48675537109375
512,multi_equal,comight,auc,0.5494384765625
512,multi_equal,comight,auc,0.4825286865234375
512,multi_equal,comight,auc,0.5142669677734375
512,multi_equal,comight,auc,0.4953765869140625
512,multi_equal,comight,auc,0.4932403564453125
512,multi_equal,comight,auc,0.4953460693359375
512,multi_equal,comight,auc,0.4720306396484375
512,multi_equal,comight,auc,0.493408203125
512,multi_equal,comight,auc,0.4896392822265625
512,multi_equal,comight,auc,0.513427734375
512,multi_equal,comight,auc,0.4618682861328125
512,multi_equal,comight,auc,0.4927978515625
512,multi_equal,comight,auc,0.4717254638671875
512,multi_equal,comight,auc,0.503936767578125
512,multi_equal,comight,auc,0.443328857421875
512,multi_equal,comight,auc,0.5211181640625
512,multi_equal,comight,auc,0.4487152099609375
512,multi_equal,comight,auc,0.5290679931640625
512,multi_equal,comight,auc,0.5032501220703125
512,multi_equal,comight,auc,0.4876556396484375
512,multi_equal,comight,auc,0.5615386962890625
512,multi_equal,comight,auc,0.5072784423828125
512,multi_equal,comight,auc,0.5088958740234375
512,multi_equal,comight,auc,0.40289306640625
512,multi_equal,comight,auc,0.437347412109375
512,multi_equal,comight,auc,0.4831390380859375
512,multi_equal,comight,auc,0.5774993896484375
512,multi_equal,comight,auc,0.478363037109375
512,multi_equal,comight,auc,0.4659423828125
512,multi_equal,comight,auc,0.517578125
512,multi_equal,comight,auc,0.4683074951171875
512,multi_equal,comight,auc,0.4357147216796875
512,multi_equal,comight,auc,0.4940032958984375
512,multi_equal,comight,auc,0.577178955078125
512,multi_equal,comight,auc,0.4808349609375
512,multi_equal,comight,auc,0.5645294189453125
512,multi_equal,comight,auc,0.49951171875
512,multi_equal,comight,auc,0.55902099609375
512,multi_equal,comight,auc,0.4383392333984375
512,multi_equal,comight,auc,0.4938812255859375
512,multi_equal,comight,auc,0.549774169921875
512,multi_equal,comight,auc,0.560638427734375
512,multi_equal,comight,auc,0.509307861328125
512,multi_equal,comight,auc,0.4246978759765625
512,multi_equal,comight,auc,0.4619903564453125
512,multi_equal,comight,auc,0.4667510986328125
512,multi_equal,comight,auc,0.4527130126953125
512,multi_equal,comight,auc,0.5475616455078125
512,multi_equal,comight,auc,0.5285491943359375
512,multi_equal,comight,auc,0.46636962890625
512,multi_equal,comight,auc,0.5098114013671875
512,multi_equal,comight,auc,0.517486572265625
512,multi_equal,comight,auc,0.384552001953125
512,multi_equal,comight,auc,0.5289764404296875
512,multi_equal,comight,auc,0.4853973388671875
512,multi_equal,comight,auc,0.5281219482421875
512,multi_equal,comight,auc,0.48883056640625
512,multi_equal,comight,auc,0.5092926025390625
512,multi_equal,comight,auc,0.5323333740234375
512,multi_equal,comight,auc,0.450103759765625
512,multi_equal,comight,auc,0.538848876953125
512,multi_equal,comight,auc,0.49365234375
512,multi_equal,comight,auc,0.491546630859375
512,multi_equal,comight,auc,0.4659423828125
512,multi_equal,comight,auc,0.485595703125
512,multi_equal,comight,auc,0.5057373046875
512,multi_equal,comight,auc,0.4787445068359375
512,multi_equal,comight,auc,0.4839935302734375
512,multi_equal,comight,auc,0.46533203125
1024,multi_equal,comight,auc,0.5485458374023438
1024,multi_equal,comight,auc,0.4942131042480469
1024,multi_equal,comight,auc,0.4737281799316406
1024,multi_equal,comight,auc,0.4979133605957031
1024,multi_equal,comight,auc,0.5334663391113281
1024,multi_equal,comight,auc,0.5113487243652344
1024,multi_equal,comight,auc,0.5049514770507812
1024,multi_equal,comight,auc,0.5401229858398438
1024,multi_equal,comight,auc,0.46930694580078125
1024,multi_equal,comight,auc,0.4906272888183594
