sas98,idx,n_samples,n_dims_1,n_dims_2
0.015625,0,256,506,6
-0.015625,0,512,506,6
-0.0078125,0,1024,506,6
-0.015625,1,256,506,6
0.0078125,1,512,506,6
0.01953125,1,1024,506,6
0.03125,2,256,506,6
0.0,2,512,506,6
-0.0078125,2,1024,506,6
0.0078125,3,256,506,6
-0.01171875,3,512,506,6
0.001953125,3,1024,506,6
-0.078125,4,256,506,6
0.00390625,4,512,506,6
0.009765625,4,1024,506,6
0.0546875,5,256,506,6
0.0078125,5,512,506,6
-0.00390625,5,1024,506,6
-0.0234375,6,256,506,6
0.0,6,512,506,6
-0.015625,6,1024,506,6
0.0390625,7,256,506,6
-0.0078125,7,512,506,6
-0.005859375,7,1024,506,6
-0.015625,8,256,506,6
-0.0078125,8,512,506,6
0.01171875,8,1024,506,6
0.015625,9,256,506,6
0.01171875,9,512,506,6
0.005859375,9,1024,506,6
-0.015625,10,256,506,6
0.0,10,512,506,6
-0.0078125,10,1024,506,6
0.0,11,256,506,6
-0.015625,11,512,506,6
-0.00390625,11,1024,506,6
-0.0078125,12,256,506,6
0.015625,12,512,506,6
0.00390625,12,1024,506,6
-0.0078125,13,256,506,6
-0.00390625,13,512,506,6
-0.005859375,13,1024,506,6
0.03125,14,256,506,6
0.00390625,14,512,506,6
0.001953125,14,1024,506,6
-0.015625,15,256,506,6
-0.0078125,15,512,506,6
0.005859375,15,1024,506,6
0.0,16,256,506,6
0.0078125,16,512,506,6
-0.005859375,16,1024,506,6
0.0,17,256,506,6
0.01171875,17,512,506,6
0.001953125,17,1024,506,6
0.015625,18,256,506,6
-0.00390625,18,512,506,6
0.00390625,18,1024,506,6
-0.0078125,19,256,506,6
-0.03125,19,512,506,6
0.00390625,19,1024,506,6
0.0078125,20,256,506,6
0.0,20,512,506,6
-0.009765625,20,1024,506,6
-0.0078125,21,256,506,6
0.015625,21,512,506,6
0.00390625,21,1024,506,6
0.0078125,22,256,506,6
-0.01171875,22,512,506,6
0.0,22,1024,506,6
-0.015625,23,256,506,6
0.01953125,23,512,506,6
-0.005859375,23,1024,506,6
0.0078125,24,256,506,6
-0.0078125,24,512,506,6
0.005859375,24,1024,506,6
-0.03125,25,256,506,6
0.01953125,25,512,506,6
-0.005859375,25,1024,506,6
0.0390625,26,256,506,6
-0.00390625,26,512,506,6
0.009765625,26,1024,506,6
0.0078125,27,256,506,6
-0.015625,27,512,506,6
-0.001953125,27,1024,506,6
-0.0078125,28,256,506,6
-0.01171875,28,512,506,6
-0.001953125,28,1024,506,6
-0.0234375,29,256,506,6
-0.01171875,29,512,506,6
-0.009765625,29,1024,506,6
0.0078125,30,256,506,6
0.015625,30,512,506,6
0.00390625,30,1024,506,6
-0.0234375,31,256,506,6
0.0078125,31,512,506,6
0.0,31,1024,506,6
0.03125,32,256,506,6
-0.0390625,32,512,506,6
0.021484375,32,1024,506,6
0.0,33,256,506,6
0.03515625,33,512,506,6
0.001953125,33,1024,506,6
-0.0234375,34,256,506,6
0.0,34,512,506,6
-0.0078125,34,1024,506,6
0.0234375,35,256,506,6
-0.01171875,35,512,506,6
-0.005859375,35,1024,506,6
-0.0234375,36,256,506,6
0.02734375,36,512,506,6
-0.0078125,36,1024,506,6
0.0078125,37,256,506,6
-0.02734375,37,512,506,6
-0.01171875,37,1024,506,6
-0.0234375,38,256,506,6
0.03125,38,512,506,6
0.01171875,38,1024,506,6
0.03125,39,256,506,6
-0.015625,39,512,506,6
0.001953125,39,1024,506,6
0.0078125,40,256,506,6
0.0,40,512,506,6
0.001953125,40,1024,506,6
0.0078125,41,256,506,6
0.0078125,41,512,506,6
0.01171875,41,1024,506,6
-0.015625,42,256,506,6
-0.00390625,42,512,506,6
-0.015625,42,1024,506,6
0.0078125,43,256,506,6
0.0,43,512,506,6
0.001953125,43,1024,506,6
0.0078125,44,256,506,6
-0.03125,44,512,506,6
-0.005859375,44,1024,506,6
0.0078125,45,256,506,6
0.03125,45,512,506,6
0.0078125,45,1024,506,6
-0.0546875,46,256,506,6
-0.015625,46,512,506,6
-0.01171875,46,1024,506,6
0.03125,47,256,506,6
0.0234375,47,512,506,6
0.0078125,47,1024,506,6
-0.0234375,48,256,506,6
-0.0234375,48,512,506,6
0.01171875,48,1024,506,6
0.046875,49,256,506,6
0.01171875,49,512,506,6
-0.00390625,49,1024,506,6
-0.0234375,50,256,506,6
-0.00390625,50,512,506,6
0.0078125,50,1024,506,6
0.015625,51,256,506,6
-0.0078125,51,512,506,6
-0.013671875,51,1024,506,6
-0.015625,52,256,506,6
0.0078125,52,512,506,6
-0.001953125,52,1024,506,6
0.015625,53,256,506,6
0.0078125,53,512,506,6
0.0078125,53,1024,506,6
-0.0234375,54,256,506,6
-0.01171875,54,512,506,6
0.001953125,54,1024,506,6
0.0078125,55,256,506,6
-0.00390625,55,512,506,6
0.005859375,55,1024,506,6
-0.046875,56,256,506,6
0.015625,56,512,506,6
-0.009765625,56,1024,506,6
0.046875,57,256,506,6
-0.0078125,57,512,506,6
0.00390625,57,1024,506,6
-0.0078125,58,256,506,6
-0.015625,58,512,506,6
-0.00390625,58,1024,506,6
0.0078125,59,256,506,6
0.01953125,59,512,506,6
-0.0078125,59,1024,506,6
-0.0234375,60,256,506,6
0.01953125,60,512,506,6
0.001953125,60,1024,506,6
0.015625,61,256,506,6
-0.03125,61,512,506,6
-0.01171875,61,1024,506,6
0.03125,62,256,506,6
0.015625,62,512,506,6
0.021484375,62,1024,506,6
-0.0078125,63,256,506,6
-0.0234375,63,512,506,6
0.005859375,63,1024,506,6
-0.0078125,64,256,506,6
0.00390625,64,512,506,6
-0.013671875,64,1024,506,6
