sas98,idx,n_samples,n_dims_1,n_dims_2
0.0078125,0,256,4093,6
-0.01953125,0,512,4093,6
0.03515625,0,1024,4093,6
0.0234375,1,256,4093,6
-0.0078125,1,512,4093,6
-0.001953125,1,1024,4093,6
0.03125,2,256,4093,6
0.01171875,2,512,4093,6
0.00390625,2,1024,4093,6
0.0078125,3,256,4093,6
-0.00390625,3,512,4093,6
-0.03125,3,1024,4093,6
-0.0078125,4,256,4093,6
0.0,4,512,4093,6
-0.01171875,4,1024,4093,6
0.0234375,5,256,4093,6
0.01953125,5,512,4093,6
0.01953125,5,1024,4093,6
-0.0078125,6,256,4093,6
0.01171875,6,512,4093,6
0.0,6,1024,4093,6
0.0,7,256,4093,6
-0.0234375,7,512,4093,6
0.00390625,7,1024,4093,6
0.046875,8,256,4093,6
-0.01953125,8,512,4093,6
-0.00390625,8,1024,4093,6
-0.0078125,9,256,4093,6
-0.01953125,9,512,4093,6
-0.00390625,9,1024,4093,6
-0.0390625,10,256,4093,6
0.0,10,512,4093,6
0.001953125,10,1024,4093,6
0.0234375,11,256,4093,6
0.02734375,11,512,4093,6
-0.0078125,11,1024,4093,6
0.0,12,256,4093,6
0.0078125,12,512,4093,6
-0.013671875,12,1024,4093,6
0.0390625,13,256,4093,6
-0.00390625,13,512,4093,6
-0.0234375,13,1024,4093,6
0.0625,14,256,4093,6
0.01171875,14,512,4093,6
0.001953125,14,1024,4093,6
-0.0078125,15,256,4093,6
0.0078125,15,512,4093,6
0.03515625,15,1024,4093,6
0.046875,16,256,4093,6
-0.01171875,16,512,4093,6
0.009765625,16,1024,4093,6
0.0,17,256,4093,6
-0.0234375,17,512,4093,6
-0.03515625,17,1024,4093,6
-0.046875,18,256,4093,6
0.03515625,18,512,4093,6
-0.009765625,18,1024,4093,6
0.0,19,256,4093,6
-0.00390625,19,512,4093,6
0.005859375,19,1024,4093,6
0.0703125,20,256,4093,6
-0.0078125,20,512,4093,6
0.015625,20,1024,4093,6
-0.03125,21,256,4093,6
-0.0078125,21,512,4093,6
0.001953125,21,1024,4093,6
0.0,22,256,4093,6
0.015625,22,512,4093,6
-0.009765625,22,1024,4093,6
0.03125,23,256,4093,6
0.0078125,23,512,4093,6
-0.005859375,23,1024,4093,6
0.015625,24,256,4093,6
-0.015625,24,512,4093,6
-0.015625,24,1024,4093,6
-0.0078125,25,256,4093,6
0.03125,25,512,4093,6
0.009765625,25,1024,4093,6
-0.0234375,26,256,4093,6
-0.02734375,26,512,4093,6
0.025390625,26,1024,4093,6
0.015625,27,256,4093,6
0.00390625,27,512,4093,6
-0.005859375,27,1024,4093,6
-0.015625,28,256,4093,6
-0.015625,28,512,4093,6
-0.01953125,28,1024,4093,6
-0.0078125,29,256,4093,6
-0.0078125,29,512,4093,6
0.02734375,29,1024,4093,6
0.0,30,256,4093,6
0.01953125,30,512,4093,6
-0.005859375,30,1024,4093,6
-0.046875,31,256,4093,6
0.015625,31,512,4093,6
-0.00390625,31,1024,4093,6
-0.0234375,32,256,4093,6
-0.0078125,32,512,4093,6
0.017578125,32,1024,4093,6
-0.0078125,33,256,4093,6
0.01953125,33,512,4093,6
0.0,33,1024,4093,6
-0.0546875,34,256,4093,6
-0.0078125,34,512,4093,6
0.025390625,34,1024,4093,6
0.046875,35,256,4093,6
0.0078125,35,512,4093,6
0.03125,35,1024,4093,6
-0.03125,36,256,4093,6
0.01171875,36,512,4093,6
-0.025390625,36,1024,4093,6
