sas98,idx,n_samples,n_dims_1,n_dims_2
-0.015625,0,256,4093,6
-0.00390625,0,512,4093,6
0.013671875,0,1024,4093,6
-0.0078125,1,256,4093,6
-0.05078125,1,512,4093,6
-0.009765625,1,1024,4093,6
0.0078125,2,256,4093,6
0.0390625,2,512,4093,6
-0.00390625,2,1024,4093,6
0.0234375,3,256,4093,6
0.0,3,512,4093,6
0.0078125,3,1024,4093,6
-0.0234375,4,256,4093,6
0.0,4,512,4093,6
0.0,4,1024,4093,6
0.015625,5,256,4093,6
-0.01953125,5,512,4093,6
-0.009765625,5,1024,4093,6
0.0078125,6,256,4093,6
0.0234375,6,512,4093,6
0.0,6,1024,4093,6
-0.015625,7,256,4093,6
0.00390625,7,512,4093,6
0.0078125,7,1024,4093,6
0.0078125,8,256,4093,6
-0.00390625,8,512,4093,6
0.005859375,8,1024,4093,6
0.015625,9,256,4093,6
0.00390625,9,512,4093,6
-0.0390625,9,1024,4093,6
0.0,10,256,4093,6
-0.01171875,10,512,4093,6
0.017578125,10,1024,4093,6
-0.03125,11,256,4093,6
-0.015625,11,512,4093,6
0.033203125,11,1024,4093,6
-0.015625,12,256,4093,6
0.03515625,12,512,4093,6
-0.0078125,12,1024,4093,6
0.046875,13,256,4093,6
-0.0078125,13,512,4093,6
-0.017578125,13,1024,4093,6
-0.015625,14,256,4093,6
-0.0078125,14,512,4093,6
0.005859375,14,1024,4093,6
0.0078125,15,256,4093,6
-0.00390625,15,512,4093,6
0.0,15,1024,4093,6
0.0078125,16,256,4093,6
-0.00390625,16,512,4093,6
-0.0078125,16,1024,4093,6
0.0,17,256,4093,6
0.0234375,17,512,4093,6
-0.0078125,17,1024,4093,6
0.0,18,256,4093,6
-0.01953125,18,512,4093,6
0.013671875,18,1024,4093,6
0.0,19,256,4093,6
0.00390625,19,512,4093,6
0.0,19,1024,4093,6
-0.015625,20,256,4093,6
-0.0078125,20,512,4093,6
0.005859375,20,1024,4093,6
0.015625,21,256,4093,6
-0.01953125,21,512,4093,6
0.001953125,21,1024,4093,6
-0.0625,22,256,4093,6
0.01171875,22,512,4093,6
-0.001953125,22,1024,4093,6
0.0546875,23,256,4093,6
0.0234375,23,512,4093,6
0.005859375,23,1024,4093,6
0.0078125,24,256,4093,6
-0.0234375,24,512,4093,6
-0.00390625,24,1024,4093,6
-0.0390625,25,256,4093,6
0.01953125,25,512,4093,6
0.0,25,1024,4093,6
0.0078125,26,256,4093,6
-0.01171875,26,512,4093,6
0.0,26,1024,4093,6
0.015625,27,256,4093,6
0.0,27,512,4093,6
0.009765625,27,1024,4093,6
0.0,28,256,4093,6
0.0234375,28,512,4093,6
-0.015625,28,1024,4093,6
-0.015625,29,256,4093,6
-0.02734375,29,512,4093,6
0.01953125,29,1024,4093,6
0.0078125,30,256,4093,6
0.01953125,30,512,4093,6
-0.009765625,30,1024,4093,6
0.0,31,256,4093,6
-0.0078125,31,512,4093,6
0.00390625,31,1024,4093,6
0.0078125,32,256,4093,6
0.00390625,32,512,4093,6
-0.029296875,32,1024,4093,6
0.0078125,33,256,4093,6
-0.00390625,33,512,4093,6
0.017578125,33,1024,4093,6
0.0,34,256,4093,6
0.01171875,34,512,4093,6
-0.001953125,34,1024,4093,6
0.0,35,256,4093,6
-0.00390625,35,512,4093,6
0.013671875,35,1024,4093,6
-0.0234375,36,256,4093,6
0.0078125,36,512,4093,6
-0.005859375,36,1024,4093,6
-0.0078125,37,256,4093,6
-0.015625,37,512,4093,6
-0.01953125,37,1024,4093,6
0.03125,38,256,4093,6
0.0078125,38,512,4093,6
0.015625,38,1024,4093,6
-0.0234375,39,256,4093,6
0.0078125,39,512,4093,6
-0.01171875,39,1024,4093,6
0.0078125,40,256,4093,6
0.00390625,40,512,4093,6
0.017578125,40,1024,4093,6
0.015625,41,256,4093,6
-0.0234375,41,512,4093,6
-0.00390625,41,1024,4093,6
-0.046875,42,256,4093,6
0.015625,42,512,4093,6
-0.0078125,42,1024,4093,6
-0.0703125,43,256,4093,6
-0.03515625,43,512,4093,6
0.001953125,43,1024,4093,6
0.0859375,44,256,4093,6
0.03125,44,512,4093,6
0.01171875,44,1024,4093,6
0.0,45,256,4093,6
-0.0078125,45,512,4093,6
-0.005859375,45,1024,4093,6
0.0,46,256,4093,6
0.0078125,46,512,4093,6
-0.009765625,46,1024,4093,6
0.0234375,47,256,4093,6
-0.0234375,47,512,4093,6
-0.005859375,47,1024,4093,6
-0.015625,48,256,4093,6
0.02734375,48,512,4093,6
0.0234375,48,1024,4093,6
-0.0078125,49,256,4093,6
-0.00390625,49,512,4093,6
0.0,49,1024,4093,6
-0.0078125,50,256,4093,6
-0.01953125,50,512,4093,6
-0.01953125,50,1024,4093,6
0.0234375,51,256,4093,6
0.00390625,51,512,4093,6
0.0,51,1024,4093,6
0.0,52,256,4093,6
0.0,52,512,4093,6
0.0234375,52,1024,4093,6
0.0234375,53,256,4093,6
-0.046875,53,512,4093,6
-0.01953125,53,1024,4093,6
-0.0078125,54,256,4093,6
0.0703125,54,512,4093,6
-0.00390625,54,1024,4093,6
-0.03125,55,256,4093,6
-0.05078125,55,512,4093,6
0.013671875,55,1024,4093,6
0.0078125,56,256,4093,6
0.0390625,56,512,4093,6
-0.0078125,56,1024,4093,6
0.015625,57,256,4093,6
-0.02734375,57,512,4093,6
0.009765625,57,1024,4093,6
0.0,58,256,4093,6
0.0078125,58,512,4093,6
-0.005859375,58,1024,4093,6
-0.03125,59,256,4093,6
0.03515625,59,512,4093,6
-0.0234375,59,1024,4093,6
0.0234375,60,256,4093,6
-0.0078125,60,512,4093,6
0.02734375,60,1024,4093,6
-0.03125,61,256,4093,6
-0.01171875,61,512,4093,6
-0.0078125,61,1024,4093,6
0.0390625,62,256,4093,6
-0.00390625,62,512,4093,6
0.0078125,62,1024,4093,6
-0.0546875,63,256,4093,6
-0.00390625,63,512,4093,6
-0.015625,63,1024,4093,6
0.046875,64,256,4093,6
0.01171875,64,512,4093,6
0.005859375,64,1024,4093,6
0.0,65,256,4093,6
-0.01953125,65,512,4093,6
-0.0078125,65,1024,4093,6
-0.015625,66,256,4093,6
0.0,66,512,4093,6
0.01953125,66,1024,4093,6
0.0078125,67,256,4093,6
0.01953125,67,512,4093,6
-0.0078125,67,1024,4093,6
0.0078125,68,256,4093,6
-0.01171875,68,512,4093,6
-0.005859375,68,1024,4093,6
-0.015625,69,256,4093,6
0.01171875,69,512,4093,6
0.009765625,69,1024,4093,6
-0.0078125,70,256,4093,6
-0.01171875,70,512,4093,6
0.0,70,1024,4093,6
0.03125,71,256,4093,6
0.01953125,71,512,4093,6
-0.0078125,71,1024,4093,6
-0.03125,72,256,4093,6
-0.00390625,72,512,4093,6
0.00390625,72,1024,4093,6
0.03125,73,256,4093,6
-0.00390625,73,512,4093,6
0.005859375,73,1024,4093,6
-0.0078125,74,256,4093,6
0.0078125,74,512,4093,6
-0.01953125,74,1024,4093,6
0.015625,75,256,4093,6
-0.0234375,75,512,4093,6
0.015625,75,1024,4093,6
0.0078125,76,256,4093,6
0.01953125,76,512,4093,6
0.0,76,1024,4093,6
-0.0390625,77,256,4093,6
-0.0234375,77,512,4093,6
-0.0078125,77,1024,4093,6
0.0078125,78,256,4093,6
0.0,78,512,4093,6
0.009765625,78,1024,4093,6
0.015625,79,256,4093,6
0.015625,79,512,4093,6
-0.013671875,79,1024,4093,6
0.0,80,256,4093,6
0.00390625,80,512,4093,6
0.0078125,80,1024,4093,6
0.015625,81,256,4093,6
-0.0078125,81,512,4093,6
0.01171875,81,1024,4093,6
-0.0625,82,256,4093,6
0.01171875,82,512,4093,6
-0.01171875,82,1024,4093,6
-0.0390625,83,256,4093,6
-0.015625,83,512,4093,6
0.0,83,1024,4093,6
0.09375,84,256,4093,6
0.01171875,84,512,4093,6
0.013671875,84,1024,4093,6
-0.0078125,85,256,4093,6
-0.0078125,85,512,4093,6
-0.00390625,85,1024,4093,6
0.0,86,256,4093,6
0.01953125,86,512,4093,6
-0.021484375,86,1024,4093,6
-0.015625,87,256,4093,6
-0.01171875,87,512,4093,6
0.025390625,87,1024,4093,6
0.015625,88,256,4093,6
0.015625,88,512,4093,6
-0.01953125,88,1024,4093,6
0.015625,89,256,4093,6
-0.02734375,89,512,4093,6
0.013671875,89,1024,4093,6
-0.0078125,90,256,4093,6
0.01953125,90,512,4093,6
-0.01171875,90,1024,4093,6
-0.015625,91,256,4093,6
-0.01171875,91,512,4093,6
0.017578125,91,1024,4093,6
0.015625,92,256,4093,6
-0.0078125,92,512,4093,6
-0.015625,92,1024,4093,6
-0.015625,93,256,4093,6
0.0078125,93,512,4093,6
-0.001953125,93,1024,4093,6
0.0078125,94,256,4093,6
0.0,94,512,4093,6
-0.001953125,94,1024,4093,6
0.0,95,256,4093,6
-0.01171875,95,512,4093,6
0.017578125,95,1024,4093,6
-0.0234375,96,256,4093,6
0.01171875,96,512,4093,6
-0.021484375,96,1024,4093,6
0.0234375,97,256,4093,6
0.00390625,97,512,4093,6
0.009765625,97,1024,4093,6
0.0078125,98,256,4093,6
-0.01953125,98,512,4093,6
0.0,98,1024,4093,6
-0.0078125,99,256,4093,6
0.03125,99,512,4093,6
-0.00390625,99,1024,4093,6
