sas98,idx,n_samples,n_dims_1,n_dims_2
0.0078125,0,256,506,6
0.0,0,512,506,6
-0.001953125,0,1024,506,6
0.0546875,1,256,506,6
-0.0078125,1,512,506,6
-0.001953125,1,1024,506,6
-0.0078125,2,256,506,6
0.00390625,2,512,506,6
0.001953125,2,1024,506,6
-0.078125,3,256,506,6
-0.0390625,3,512,506,6
0.00390625,3,1024,506,6
0.0859375,4,256,506,6
0.03515625,4,512,506,6
0.001953125,4,1024,506,6
-0.0078125,5,256,506,6
-0.00390625,5,512,506,6
0.001953125,5,1024,506,6
-0.0234375,6,256,506,6
-0.01953125,6,512,506,6
-0.0234375,6,1024,506,6
0.0,7,256,506,6
0.0234375,7,512,506,6
0.025390625,7,1024,506,6
-0.0078125,8,256,506,6
-0.0078125,8,512,506,6
0.005859375,8,1024,506,6
0.0234375,9,256,506,6
-0.0234375,9,512,506,6
-0.01171875,9,1024,506,6
-0.0234375,10,256,506,6
0.046875,10,512,506,6
-0.005859375,10,1024,506,6
-0.0078125,11,256,506,6
-0.02734375,11,512,506,6
0.005859375,11,1024,506,6
0.0390625,12,256,506,6
0.01953125,12,512,506,6
-0.01171875,12,1024,506,6
0.0,13,256,506,6
-0.015625,13,512,506,6
0.009765625,13,1024,506,6
-0.0078125,14,256,506,6
0.015625,14,512,506,6
-0.00390625,14,1024,506,6
-0.03125,15,256,506,6
-0.015625,15,512,506,6
0.017578125,15,1024,506,6
0.03125,16,256,506,6
0.01953125,16,512,506,6
0.0,16,1024,506,6
0.0,17,256,506,6
0.0,17,512,506,6
-0.013671875,17,1024,506,6
-0.0078125,18,256,506,6
-0.0078125,18,512,506,6
0.015625,18,1024,506,6
0.0234375,19,256,506,6
0.0,19,512,506,6
-0.009765625,19,1024,506,6
-0.0078125,20,256,506,6
-0.01171875,20,512,506,6
0.005859375,20,1024,506,6
-0.0234375,21,256,506,6
0.01953125,21,512,506,6
0.0078125,21,1024,506,6
0.0234375,22,256,506,6
-0.06640625,22,512,506,6
-0.009765625,22,1024,506,6
-0.03125,23,256,506,6
0.046875,23,512,506,6
-0.00390625,23,1024,506,6
0.0390625,24,256,506,6
-0.00390625,24,512,506,6
0.009765625,24,1024,506,6
-0.0078125,25,256,506,6
0.01171875,25,512,506,6
-0.0078125,25,1024,506,6
0.0,26,256,506,6
0.015625,26,512,506,6
0.00390625,26,1024,506,6
-0.0234375,27,256,506,6
-0.015625,27,512,506,6
-0.005859375,27,1024,506,6
0.015625,28,256,506,6
0.0078125,28,512,506,6
-0.005859375,28,1024,506,6
-0.0390625,29,256,506,6
0.0,29,512,506,6
-0.021484375,29,1024,506,6
0.0390625,30,256,506,6
0.0,30,512,506,6
0.041015625,30,1024,506,6
0.0,31,256,506,6
-0.02734375,31,512,506,6
-0.015625,31,1024,506,6
-0.0390625,32,256,506,6
0.01171875,32,512,506,6
0.009765625,32,1024,506,6
0.046875,33,256,506,6
-0.03125,33,512,506,6
-0.001953125,33,1024,506,6
-0.015625,34,256,506,6
0.0546875,34,512,506,6
0.00390625,34,1024,506,6
0.015625,35,256,506,6
-0.0078125,35,512,506,6
-0.025390625,35,1024,506,6
-0.0234375,36,256,506,6
-0.015625,36,512,506,6
0.02734375,36,1024,506,6
-0.03125,37,256,506,6
-0.0078125,37,512,506,6
-0.00390625,37,1024,506,6
0.0546875,38,256,506,6
0.02734375,38,512,506,6
0.001953125,38,1024,506,6
0.0,39,256,506,6
0.0,39,512,506,6
-0.0234375,39,1024,506,6
-0.0390625,40,256,506,6
0.0,40,512,506,6
0.00390625,40,1024,506,6
0.0234375,41,256,506,6
-0.03515625,41,512,506,6
0.01953125,41,1024,506,6
0.0078125,42,256,506,6
0.03515625,42,512,506,6
0.0,42,1024,506,6
-0.0078125,43,256,506,6
0.0,43,512,506,6
-0.021484375,43,1024,506,6
-0.03125,44,256,506,6
0.0,44,512,506,6
0.009765625,44,1024,506,6
-0.0078125,45,256,506,6
-0.01953125,45,512,506,6
0.0,45,1024,506,6
0.0546875,46,256,506,6
0.01171875,46,512,506,6
-0.0078125,46,1024,506,6
-0.03125,47,256,506,6
0.0078125,47,512,506,6
0.00390625,47,1024,506,6
0.0234375,48,256,506,6
-0.00390625,48,512,506,6
0.0078125,48,1024,506,6
0.0,49,256,506,6
-0.01953125,49,512,506,6
0.001953125,49,1024,506,6
0.015625,50,256,506,6
-0.0078125,50,512,506,6
-0.01953125,50,1024,506,6
-0.0546875,51,256,506,6
0.0234375,51,512,506,6
0.017578125,51,1024,506,6
0.046875,52,256,506,6
-0.03515625,52,512,506,6
-0.01171875,52,1024,506,6
0.0,53,256,506,6
0.03515625,53,512,506,6
0.01171875,53,1024,506,6
0.0,54,256,506,6
-0.00390625,54,512,506,6
0.001953125,54,1024,506,6
0.0,55,256,506,6
-0.01171875,55,512,506,6
-0.017578125,55,1024,506,6
-0.0234375,56,256,506,6
0.01953125,56,512,506,6
-0.00390625,56,1024,506,6
0.0,57,256,506,6
-0.0078125,57,512,506,6
0.0,57,1024,506,6
0.0234375,58,256,506,6
0.00390625,58,512,506,6
0.025390625,58,1024,506,6
0.0,59,256,506,6
-0.01171875,59,512,506,6
0.0,59,1024,506,6
-0.0234375,60,256,506,6
0.01953125,60,512,506,6
-0.009765625,60,1024,506,6
0.0234375,61,256,506,6
-0.01171875,61,512,506,6
0.00390625,61,1024,506,6
-0.0546875,62,256,506,6
-0.0234375,62,512,506,6
-0.0078125,62,1024,506,6
0.0546875,63,256,506,6
0.0078125,63,512,506,6
0.0,63,1024,506,6
0.0078125,64,256,506,6
0.02734375,64,512,506,6
-0.01171875,64,1024,506,6
-0.0390625,65,256,506,6
-0.04296875,65,512,506,6
0.0234375,65,1024,506,6
-0.0078125,66,256,506,6
0.0390625,66,512,506,6
0.0,66,1024,506,6
0.015625,67,256,506,6
-0.02734375,67,512,506,6
-0.005859375,67,1024,506,6
0.0078125,68,256,506,6
0.03125,68,512,506,6
0.0078125,68,1024,506,6
-0.046875,69,256,506,6
-0.03125,69,512,506,6
-0.005859375,69,1024,506,6
0.03125,70,256,506,6
0.01953125,70,512,506,6
-0.01171875,70,1024,506,6
-0.0078125,71,256,506,6
-0.0078125,71,512,506,6
0.01171875,71,1024,506,6
0.015625,72,256,506,6
0.01171875,72,512,506,6
-0.01171875,72,1024,506,6
0.015625,73,256,506,6
-0.015625,73,512,506,6
-0.00390625,73,1024,506,6
-0.015625,74,256,506,6
0.015625,74,512,506,6
0.025390625,74,1024,506,6
0.0078125,75,256,506,6
0.0,75,512,506,6
-0.009765625,75,1024,506,6
0.015625,76,256,506,6
-0.00390625,76,512,506,6
0.001953125,76,1024,506,6
-0.0390625,77,256,506,6
0.00390625,77,512,506,6
-0.001953125,77,1024,506,6
0.0390625,78,256,506,6
-0.0390625,78,512,506,6
0.01171875,78,1024,506,6
-0.03125,79,256,506,6
0.03515625,79,512,506,6
-0.03125,79,1024,506,6
0.0078125,80,256,506,6
-0.0078125,80,512,506,6
0.021484375,80,1024,506,6
-0.0078125,81,256,506,6
0.01953125,81,512,506,6
