n_samples,sim_type,model,metric,metric_value
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.03125
128,multi_modalv3,svm,sas98,0.0625
128,multi_modalv3,svm,sas98,0.0
128,multi_modalv3,svm,sas98,0.078125
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.0
128,multi_modalv3,svm,sas98,0.125
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.0625
128,multi_modalv3,svm,sas98,0.046875
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.0625
128,multi_modalv3,svm,sas98,0.0625
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.046875
128,multi_modalv3,svm,sas98,0.0
128,multi_modalv3,svm,sas98,0.046875
128,multi_modalv3,svm,sas98,0.03125
128,multi_modalv3,svm,sas98,0.0
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.0
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.03125
128,multi_modalv3,svm,sas98,0.0
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.046875
128,multi_modalv3,svm,sas98,0.0
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.03125
128,multi_modalv3,svm,sas98,0.0625
128,multi_modalv3,svm,sas98,0.0
128,multi_modalv3,svm,sas98,0.046875
128,multi_modalv3,svm,sas98,0.0
128,multi_modalv3,svm,sas98,0.03125
128,multi_modalv3,svm,sas98,0.078125
128,multi_modalv3,svm,sas98,0.0625
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.078125
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.0
128,multi_modalv3,svm,sas98,0.0
128,multi_modalv3,svm,sas98,0.03125
128,multi_modalv3,svm,sas98,0.046875
128,multi_modalv3,svm,sas98,0.046875
128,multi_modalv3,svm,sas98,0.03125
128,multi_modalv3,svm,sas98,0.0
128,multi_modalv3,svm,sas98,0.09375
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.03125
128,multi_modalv3,svm,sas98,0.0625
128,multi_modalv3,svm,sas98,0.03125
128,multi_modalv3,svm,sas98,0.09375
128,multi_modalv3,svm,sas98,0.078125
128,multi_modalv3,svm,sas98,0.0
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.03125
128,multi_modalv3,svm,sas98,0.046875
128,multi_modalv3,svm,sas98,0.015625
128,multi_modalv3,svm,sas98,0.03125
128,multi_modalv3,svm,sas98,0.078125
128,multi_modalv3,svm,sas98,0.03125
128,multi_modalv3,svm,sas98,0.03125
128,multi_modalv3,svm,sas98,0.046875
128,multi_modalv3,svm,sas98,0.078125
